ite,cost,cooling schedule,repetition
1,35596.79193116218,log,12
1000,18607.4218624691,log,12
2000,14355.270610719022,log,12
3000,12207.277740239371,log,12
4000,10919.920608841601,log,12
5000,9317.46275923321,log,12
6000,9273.945191951383,log,12
7000,7746.578447152991,log,12
8000,7606.757802362527,log,12
9000,7350.627633651569,log,12
10000,6653.370788730398,log,12
11000,6497.941672806069,log,12
12000,6128.387447699438,log,12
13000,5886.4681888845,log,12
14000,5474.812404382426,log,12
15000,5472.059965698616,log,12
16000,5978.638403923128,log,12
17000,5490.307359321668,log,12
18000,5211.807786481897,log,12
19000,5004.359288453309,log,12
20000,4960.115224325496,log,12
21000,5150.1482308013965,log,12
22000,4954.637147731494,log,12
23000,4878.891270823242,log,12
24000,4776.419533024787,log,12
25000,4656.389789177674,log,12
26000,4628.636137588231,log,12
27000,4585.452398529185,log,12
28000,4610.882874449499,log,12
29000,4315.145036145069,log,12
30000,4443.989923459441,log,12
31000,4479.763133051203,log,12
32000,4171.21090720341,log,12
33000,4507.491141644318,log,12
34000,4277.934417143295,log,12
35000,4339.092974351773,log,12
36000,4392.780569162442,log,12
37000,4037.420715353532,log,12
38000,4178.021316833195,log,12
39000,4211.826748146813,log,12
40000,4134.2818996365595,log,12
41000,4105.056060214523,log,12
42000,4023.492007193951,log,12
43000,3950.8239472087344,log,12
44000,4001.5820978299294,log,12
45000,3768.4890707854142,log,12
46000,3991.8465537916863,log,12
47000,3718.126362798137,log,12
48000,3763.4058026896664,log,12
49000,3933.2571818710708,log,12
50000,3895.961466481728,log,12
51000,3707.1714525064067,log,12
52000,3815.169565706412,log,12
53000,3844.7349391002167,log,12
54000,3714.0813222626384,log,12
55000,3727.626560368845,log,12
56000,3711.011997187211,log,12
57000,3633.5974699588446,log,12
58000,3824.9487761091964,log,12
59000,3558.246289316159,log,12
60000,3726.2956156804435,log,12
61000,3793.9052513866145,log,12
62000,3538.0647272638735,log,12
63000,3456.5525469039667,log,12
64000,3628.0150869343925,log,12
65000,3753.879934250463,log,12
66000,3464.6445764194364,log,12
