,ite,cost,hyperparameter,repetition
0,1,36054.397116544504,41.5_1.1,8
1,1000,17875.87835580578,41.5_1.1,8
2,2000,13986.835992639433,41.5_1.1,8
3,3000,11421.333154853848,41.5_1.1,8
4,4000,10064.295778928274,41.5_1.1,8
5,5000,9152.660674817165,41.5_1.1,8
6,6000,8411.175636343301,41.5_1.1,8
7,7000,7654.526804218572,41.5_1.1,8
8,8000,6975.260017952627,41.5_1.1,8
9,9000,7059.246585344853,41.5_1.1,8
10,10000,6834.64336736317,41.5_1.1,8
11,11000,6404.97106221508,41.5_1.1,8
12,12000,6132.4405262644605,41.5_1.1,8
13,13000,6196.064133862655,41.5_1.1,8
14,14000,6274.335470446292,41.5_1.1,8
15,15000,5798.623625190856,41.5_1.1,8
16,16000,5400.462313727629,41.5_1.1,8
17,17000,5438.705858281697,41.5_1.1,8
18,18000,5163.3258959935,41.5_1.1,8
19,19000,5442.4668619895165,41.5_1.1,8
20,20000,4583.562500783729,41.5_1.1,8
21,21000,4920.194670453311,41.5_1.1,8
22,22000,5036.913367325667,41.5_1.1,8
23,23000,4985.980047311572,41.5_1.1,8
24,24000,4880.299537006464,41.5_1.1,8
25,25000,4593.041332391328,41.5_1.1,8
26,26000,4643.336722257741,41.5_1.1,8
27,27000,4510.218746770279,41.5_1.1,8
28,28000,4709.900907262692,41.5_1.1,8
29,29000,4336.788634643612,41.5_1.1,8
30,30000,4267.353775485384,41.5_1.1,8
31,31000,4189.485465929825,41.5_1.1,8
32,32000,4438.319104449794,41.5_1.1,8
33,33000,4353.442253060666,41.5_1.1,8
34,34000,4304.930169702739,41.5_1.1,8
35,35000,4437.898029403062,41.5_1.1,8
36,36000,4261.9233294046935,41.5_1.1,8
37,37000,4073.4804981795824,41.5_1.1,8
38,38000,3946.561681425041,41.5_1.1,8
39,39000,4116.93427802895,41.5_1.1,8
40,40000,4143.31585403442,41.5_1.1,8
41,41000,4023.137848886799,41.5_1.1,8
42,42000,4094.1896645541474,41.5_1.1,8
43,43000,4118.010822700287,41.5_1.1,8
44,44000,3949.147105554771,41.5_1.1,8
45,45000,4036.0600360844214,41.5_1.1,8
46,46000,3783.48285624277,41.5_1.1,8
47,47000,3905.6798739748606,41.5_1.1,8
48,48000,3912.1482885576856,41.5_1.1,8
49,49000,3803.872327540224,41.5_1.1,8
50,50000,3810.8251431253334,41.5_1.1,8
51,51000,3629.001176066471,41.5_1.1,8
52,52000,3665.3704410506034,41.5_1.1,8
53,53000,3766.9015723328293,41.5_1.1,8
54,54000,3788.5442434376214,41.5_1.1,8
55,55000,4003.6019351501513,41.5_1.1,8
56,56000,3725.1331929064527,41.5_1.1,8
57,57000,3673.991044072891,41.5_1.1,8
58,58000,3764.7018296412934,41.5_1.1,8
59,59000,3670.715993714689,41.5_1.1,8
60,60000,3388.034811647504,41.5_1.1,8
61,61000,3633.8481124899267,41.5_1.1,8
62,62000,3596.0724340504844,41.5_1.1,8
63,63000,3583.7985849390757,41.5_1.1,8
64,64000,3522.699481366111,41.5_1.1,8
65,65000,3608.7460913146706,41.5_1.1,8
66,66000,3617.335855436797,41.5_1.1,8
67,67000,3478.175299987971,41.5_1.1,8
68,68000,3610.8939900819914,41.5_1.1,8
69,69000,3442.4607905249695,41.5_1.1,8
70,70000,3431.7186925905876,41.5_1.1,8
71,71000,3536.303574683116,41.5_1.1,8
72,72000,3516.5246271857545,41.5_1.1,8
73,73000,3387.981906022927,41.5_1.1,8
74,74000,3438.342589572357,41.5_1.1,8
75,75000,3268.1373099411308,41.5_1.1,8
76,76000,3470.6831089132024,41.5_1.1,8
77,77000,3479.5815610531704,41.5_1.1,8
78,78000,3359.988113311182,41.5_1.1,8
79,79000,3458.6170091940317,41.5_1.1,8
80,80000,3357.3649566391846,41.5_1.1,8
81,81000,3650.7350458855008,41.5_1.1,8
82,82000,3334.2800773004487,41.5_1.1,8
83,83000,3492.291758532604,41.5_1.1,8
84,84000,3393.724193042685,41.5_1.1,8
85,85000,3406.923640756265,41.5_1.1,8
86,86000,3371.9638407958887,41.5_1.1,8
87,87000,3452.612484520362,41.5_1.1,8
88,88000,3311.510905243537,41.5_1.1,8
89,89000,3515.3117789496246,41.5_1.1,8
90,90000,3523.221267453256,41.5_1.1,8
91,91000,3332.266962618503,41.5_1.1,8
92,92000,3419.724595811914,41.5_1.1,8
93,93000,3273.3840473915484,41.5_1.1,8
94,94000,3374.571465321224,41.5_1.1,8
95,95000,3387.28577825233,41.5_1.1,8
96,96000,3319.166311028338,41.5_1.1,8
97,97000,3319.0372854356283,41.5_1.1,8
98,98000,3459.214998012555,41.5_1.1,8
99,99000,3399.5141735065176,41.5_1.1,8
100,100000,3361.4315094660424,41.5_1.1,8
101,101000,3229.244539672663,41.5_1.1,8
102,102000,3304.2371670019616,41.5_1.1,8
103,103000,3234.4618320608415,41.5_1.1,8
104,104000,3355.0967588079275,41.5_1.1,8
105,105000,3215.292310273396,41.5_1.1,8
106,106000,3241.848496208197,41.5_1.1,8
107,107000,3219.8029633929805,41.5_1.1,8
108,108000,3224.9520333912023,41.5_1.1,8
109,109000,3206.950964239951,41.5_1.1,8
110,110000,3225.3182933038697,41.5_1.1,8
111,111000,3375.4148024637752,41.5_1.1,8
112,112000,3238.15502083864,41.5_1.1,8
113,113000,3285.754262547325,41.5_1.1,8
114,114000,3166.229478336298,41.5_1.1,8
115,115000,3184.0247136551047,41.5_1.1,8
116,116000,3144.6099971675108,41.5_1.1,8
117,117000,3168.411785819542,41.5_1.1,8
118,118000,3289.0278400940447,41.5_1.1,8
119,119000,3302.957617919479,41.5_1.1,8
120,120000,3204.1426475928497,41.5_1.1,8
121,121000,3278.3880087478983,41.5_1.1,8
122,122000,3264.080037209209,41.5_1.1,8
123,123000,3355.2115262393363,41.5_1.1,8
124,124000,3348.674273747281,41.5_1.1,8
125,125000,3187.00670967998,41.5_1.1,8
126,126000,3391.7043616225865,41.5_1.1,8
127,127000,3223.6662959223017,41.5_1.1,8
128,128000,3383.8209290811574,41.5_1.1,8
129,129000,3203.602779191247,41.5_1.1,8
130,130000,3126.686928680215,41.5_1.1,8
131,131000,3099.9838315193797,41.5_1.1,8
132,132000,3246.020473017288,41.5_1.1,8
133,133000,3113.125197811085,41.5_1.1,8
134,134000,3288.7128135208836,41.5_1.1,8
135,135000,3296.113032213462,41.5_1.1,8
136,136000,3245.0200081857874,41.5_1.1,8
137,137000,3289.2939322524057,41.5_1.1,8
138,138000,3205.4430785023765,41.5_1.1,8
139,139000,3161.2285402145503,41.5_1.1,8
140,140000,3099.9339602393247,41.5_1.1,8
141,141000,3156.363633076646,41.5_1.1,8
142,142000,3106.691469002617,41.5_1.1,8
143,143000,3257.772216023844,41.5_1.1,8
144,144000,3245.5068431962827,41.5_1.1,8
145,145000,3227.011554465563,41.5_1.1,8
146,146000,3270.212881384576,41.5_1.1,8
147,147000,3121.0508976106294,41.5_1.1,8
148,148000,3129.4681347599176,41.5_1.1,8
149,149000,3176.256546331009,41.5_1.1,8
150,150000,3233.726335060978,41.5_1.1,8
151,151000,3200.398022903141,41.5_1.1,8
152,152000,3255.4494458922327,41.5_1.1,8
153,153000,3092.3153608412817,41.5_1.1,8
154,154000,3062.516036195844,41.5_1.1,8
155,155000,3162.3976245903755,41.5_1.1,8
156,156000,3141.193056148072,41.5_1.1,8
157,157000,3062.4021525473795,41.5_1.1,8
158,158000,3126.0166139784956,41.5_1.1,8
159,159000,2990.5227149014427,41.5_1.1,8
160,160000,3237.2624489430677,41.5_1.1,8
161,161000,3181.752707671644,41.5_1.1,8
162,162000,3138.986498916378,41.5_1.1,8
163,163000,3106.6820080962348,41.5_1.1,8
164,164000,3187.281113935617,41.5_1.1,8
165,165000,3111.81465099694,41.5_1.1,8
166,166000,3012.726817697691,41.5_1.1,8
167,167000,3063.306709649015,41.5_1.1,8
168,168000,3123.375142680075,41.5_1.1,8
169,169000,3064.4731367309255,41.5_1.1,8
170,170000,2975.4807788709695,41.5_1.1,8
171,171000,3057.9958650425997,41.5_1.1,8
172,172000,3077.8582482263646,41.5_1.1,8
173,173000,3251.9812911002005,41.5_1.1,8
174,174000,3076.371181946386,41.5_1.1,8
175,175000,3175.4984348121916,41.5_1.1,8
176,176000,3039.9945153095637,41.5_1.1,8
177,177000,3016.857449267766,41.5_1.1,8
178,178000,3075.3718105966004,41.5_1.1,8
179,179000,3061.2335781165857,41.5_1.1,8
180,180000,3050.460427238458,41.5_1.1,8
181,181000,3085.4101292187315,41.5_1.1,8
182,182000,3073.9889493615824,41.5_1.1,8
183,183000,2983.035572331344,41.5_1.1,8
184,184000,3047.723114882096,41.5_1.1,8
185,185000,3000.378723324163,41.5_1.1,8
186,186000,3200.6067991505797,41.5_1.1,8
187,187000,3242.4280239483387,41.5_1.1,8
188,188000,3049.6387422302896,41.5_1.1,8
189,189000,3164.5766825324445,41.5_1.1,8
190,190000,3093.1905157410533,41.5_1.1,8
191,191000,3081.5005683976015,41.5_1.1,8
192,192000,3087.317868136468,41.5_1.1,8
193,193000,3121.490248034078,41.5_1.1,8
194,194000,3052.10659013266,41.5_1.1,8
195,195000,3168.714506845512,41.5_1.1,8
196,196000,3162.3566749156394,41.5_1.1,8
197,197000,3020.7956445679897,41.5_1.1,8
198,198000,3054.6664549347915,41.5_1.1,8
199,199000,3186.76896358493,41.5_1.1,8
200,200000,3090.6563584103587,41.5_1.1,8
201,201000,3078.886381818528,41.5_1.1,8
202,202000,3036.181021764591,41.5_1.1,8
203,203000,2961.1539150137796,41.5_1.1,8
204,204000,3047.142841241314,41.5_1.1,8
205,205000,3194.4323396502828,41.5_1.1,8
206,206000,3082.7324988021055,41.5_1.1,8
207,207000,3199.3069525931014,41.5_1.1,8
208,208000,3025.8218293064015,41.5_1.1,8
209,209000,2975.507079683083,41.5_1.1,8
210,210000,2917.7689442108344,41.5_1.1,8
211,211000,3120.9872509842967,41.5_1.1,8
212,212000,3128.161670078661,41.5_1.1,8
213,213000,3072.9098203901576,41.5_1.1,8
214,214000,3147.2773191080873,41.5_1.1,8
215,215000,3168.380211081536,41.5_1.1,8
216,216000,3122.3248941699944,41.5_1.1,8
217,217000,3101.6734443747414,41.5_1.1,8
218,218000,3015.0293348717323,41.5_1.1,8
219,219000,3182.1655774058077,41.5_1.1,8
220,220000,2982.5313349250264,41.5_1.1,8
221,221000,3147.716733658671,41.5_1.1,8
222,222000,2968.2580262706883,41.5_1.1,8
223,223000,3021.0941648692155,41.5_1.1,8
224,224000,2975.4106249673187,41.5_1.1,8
225,225000,3050.5842173674814,41.5_1.1,8
226,226000,3007.600250921822,41.5_1.1,8
227,227000,3053.66313418038,41.5_1.1,8
228,228000,3175.7677215614644,41.5_1.1,8
229,229000,3118.752537437785,41.5_1.1,8
230,230000,3071.053211966584,41.5_1.1,8
231,231000,3002.978316809096,41.5_1.1,8
232,232000,3034.828984227379,41.5_1.1,8
233,233000,3040.736141613676,41.5_1.1,8
234,234000,3005.6049011162186,41.5_1.1,8
235,235000,3094.9304917864033,41.5_1.1,8
236,236000,3068.2444333558064,41.5_1.1,8
237,237000,2907.940246640631,41.5_1.1,8
238,238000,3057.437062954893,41.5_1.1,8
239,239000,3030.975635835585,41.5_1.1,8
240,240000,3006.1736973495977,41.5_1.1,8
241,241000,3112.082518295376,41.5_1.1,8
242,242000,3021.9843670320374,41.5_1.1,8
243,243000,3061.1571611478257,41.5_1.1,8
244,244000,3024.0254715344713,41.5_1.1,8
