,ite,cost,hyperparameter,repetition
0,1,34589.42981532153,41.5_1.1,38
1,1000,18736.16806604799,41.5_1.1,38
2,2000,13114.269919430015,41.5_1.1,38
3,3000,12231.316443104883,41.5_1.1,38
4,4000,10525.149091043104,41.5_1.1,38
5,5000,8967.366679299661,41.5_1.1,38
6,6000,8608.698528009854,41.5_1.1,38
7,7000,7640.034409748683,41.5_1.1,38
8,8000,7251.45624939898,41.5_1.1,38
9,9000,7316.140041393216,41.5_1.1,38
10,10000,6930.990155431635,41.5_1.1,38
11,11000,6657.446850139644,41.5_1.1,38
12,12000,6483.1061436055525,41.5_1.1,38
13,13000,6117.805263212581,41.5_1.1,38
14,14000,5776.556888222627,41.5_1.1,38
15,15000,6038.5897005022025,41.5_1.1,38
16,16000,5468.205366581135,41.5_1.1,38
17,17000,5278.822178328497,41.5_1.1,38
18,18000,5502.664073675074,41.5_1.1,38
19,19000,5285.227947834284,41.5_1.1,38
20,20000,5345.568601126539,41.5_1.1,38
21,21000,4790.919758214065,41.5_1.1,38
22,22000,5280.8688500911485,41.5_1.1,38
23,23000,4726.908310370246,41.5_1.1,38
24,24000,4725.663223882574,41.5_1.1,38
25,25000,4511.607181954707,41.5_1.1,38
26,26000,4518.782007395622,41.5_1.1,38
27,27000,4539.522087544418,41.5_1.1,38
28,28000,4671.892256641375,41.5_1.1,38
29,29000,4318.262263829777,41.5_1.1,38
30,30000,4608.154268263266,41.5_1.1,38
31,31000,4319.193532459282,41.5_1.1,38
32,32000,4211.685479722861,41.5_1.1,38
33,33000,4500.8933671656805,41.5_1.1,38
34,34000,4032.212327979258,41.5_1.1,38
35,35000,4108.796274602882,41.5_1.1,38
36,36000,4280.124816249428,41.5_1.1,38
37,37000,4235.52615694427,41.5_1.1,38
38,38000,3865.422061474113,41.5_1.1,38
39,39000,4020.1367977636132,41.5_1.1,38
40,40000,3957.6910143083182,41.5_1.1,38
41,41000,4038.641680864041,41.5_1.1,38
42,42000,3928.9176346041418,41.5_1.1,38
43,43000,4112.066177481775,41.5_1.1,38
44,44000,3950.894602900948,41.5_1.1,38
45,45000,3830.5822699896653,41.5_1.1,38
46,46000,3909.5690358439024,41.5_1.1,38
47,47000,4078.343713941967,41.5_1.1,38
48,48000,3834.64025680585,41.5_1.1,38
49,49000,3860.5618375399454,41.5_1.1,38
50,50000,3772.692779031545,41.5_1.1,38
51,51000,3621.1826862244,41.5_1.1,38
52,52000,3700.930362056683,41.5_1.1,38
53,53000,3628.890889580735,41.5_1.1,38
54,54000,3822.220509595798,41.5_1.1,38
55,55000,3805.508942541335,41.5_1.1,38
56,56000,3626.314814205783,41.5_1.1,38
57,57000,3441.6096985110644,41.5_1.1,38
58,58000,3429.2139338526677,41.5_1.1,38
59,59000,3678.145729407049,41.5_1.1,38
60,60000,3684.3338562716804,41.5_1.1,38
61,61000,3769.370428308209,41.5_1.1,38
62,62000,3722.4256343174948,41.5_1.1,38
63,63000,3623.094916804614,41.5_1.1,38
64,64000,3621.4087390150507,41.5_1.1,38
65,65000,3487.6308782060787,41.5_1.1,38
66,66000,3720.538320927918,41.5_1.1,38
67,67000,3469.4699103364787,41.5_1.1,38
68,68000,3708.4104344697093,41.5_1.1,38
69,69000,3553.813035544388,41.5_1.1,38
70,70000,3402.191877888964,41.5_1.1,38
71,71000,3652.6735280443113,41.5_1.1,38
72,72000,3773.086195316027,41.5_1.1,38
73,73000,3621.171830487368,41.5_1.1,38
74,74000,3426.189513356414,41.5_1.1,38
75,75000,3529.464235526429,41.5_1.1,38
76,76000,3490.3417938389503,41.5_1.1,38
77,77000,3418.353376688471,41.5_1.1,38
78,78000,3449.0212838688553,41.5_1.1,38
79,79000,3377.8070024046415,41.5_1.1,38
80,80000,3672.1847944706474,41.5_1.1,38
81,81000,3412.464497123847,41.5_1.1,38
82,82000,3314.3036951258196,41.5_1.1,38
83,83000,3517.313729441096,41.5_1.1,38
84,84000,3260.4615935727134,41.5_1.1,38
85,85000,3371.477030998782,41.5_1.1,38
86,86000,3359.710081311983,41.5_1.1,38
87,87000,3523.004342606777,41.5_1.1,38
88,88000,3267.8558548676083,41.5_1.1,38
89,89000,3245.011082105185,41.5_1.1,38
90,90000,3360.429638691376,41.5_1.1,38
91,91000,3378.609041546526,41.5_1.1,38
92,92000,3406.3821452444226,41.5_1.1,38
93,93000,3246.3128963247286,41.5_1.1,38
94,94000,3376.736556643092,41.5_1.1,38
95,95000,3464.758935955117,41.5_1.1,38
96,96000,3381.1766656433174,41.5_1.1,38
97,97000,3363.6177498239663,41.5_1.1,38
98,98000,3508.272954947646,41.5_1.1,38
99,99000,3478.3223320570505,41.5_1.1,38
100,100000,3341.279990559568,41.5_1.1,38
101,101000,3141.8172585784296,41.5_1.1,38
102,102000,3217.167719302004,41.5_1.1,38
103,103000,3274.3909748956394,41.5_1.1,38
104,104000,3138.6567735982553,41.5_1.1,38
105,105000,3217.7920905442984,41.5_1.1,38
106,106000,3444.6146804366285,41.5_1.1,38
