,ite,cost,hyperparameter,repetition
0,1,35628.93153146399,41.5_1.1,6
1,1000,17845.308589958982,41.5_1.1,6
2,2000,13334.818712893442,41.5_1.1,6
3,3000,11276.650456079782,41.5_1.1,6
4,4000,10059.284479978043,41.5_1.1,6
5,5000,9131.647552633105,41.5_1.1,6
6,6000,9143.12246457014,41.5_1.1,6
7,7000,8172.955173778026,41.5_1.1,6
8,8000,7394.988248255202,41.5_1.1,6
9,9000,7391.619908060338,41.5_1.1,6
10,10000,6925.24949134933,41.5_1.1,6
11,11000,6286.451072223113,41.5_1.1,6
12,12000,6345.881669520174,41.5_1.1,6
13,13000,6124.206390770276,41.5_1.1,6
14,14000,5902.188346932018,41.5_1.1,6
15,15000,5793.534126702416,41.5_1.1,6
16,16000,5514.208873265938,41.5_1.1,6
17,17000,5378.394726413627,41.5_1.1,6
18,18000,5518.828654334553,41.5_1.1,6
19,19000,5472.005147709498,41.5_1.1,6
20,20000,5128.40704991593,41.5_1.1,6
21,21000,4965.427670702928,41.5_1.1,6
22,22000,4901.993371971262,41.5_1.1,6
23,23000,4781.731514993962,41.5_1.1,6
24,24000,4941.808218835994,41.5_1.1,6
25,25000,4680.396850339321,41.5_1.1,6
26,26000,4468.715008825564,41.5_1.1,6
27,27000,4455.100840511023,41.5_1.1,6
28,28000,4588.872747821081,41.5_1.1,6
29,29000,4489.388321536212,41.5_1.1,6
30,30000,4261.004250537356,41.5_1.1,6
31,31000,4514.9795646985185,41.5_1.1,6
32,32000,4189.617105771938,41.5_1.1,6
33,33000,4496.865946429084,41.5_1.1,6
34,34000,4039.2688915566723,41.5_1.1,6
35,35000,4226.614102394583,41.5_1.1,6
36,36000,3998.897546336396,41.5_1.1,6
37,37000,4268.190357901934,41.5_1.1,6
38,38000,4202.205176978345,41.5_1.1,6
39,39000,4131.895936777744,41.5_1.1,6
40,40000,4228.103545643232,41.5_1.1,6
41,41000,3892.973815729697,41.5_1.1,6
42,42000,4306.4533868766575,41.5_1.1,6
43,43000,4014.684217811802,41.5_1.1,6
44,44000,3870.2612453213096,41.5_1.1,6
45,45000,3908.8714747237195,41.5_1.1,6
46,46000,3859.946894354886,41.5_1.1,6
47,47000,3733.52282527233,41.5_1.1,6
48,48000,3596.2409570027407,41.5_1.1,6
49,49000,3843.5637383876897,41.5_1.1,6
50,50000,3710.8510715918696,41.5_1.1,6
51,51000,3903.869741079859,41.5_1.1,6
52,52000,3550.3553447926147,41.5_1.1,6
53,53000,3953.060671730216,41.5_1.1,6
54,54000,3642.6558767452225,41.5_1.1,6
55,55000,3733.252291330345,41.5_1.1,6
56,56000,3738.8995383698134,41.5_1.1,6
57,57000,3549.7150804050925,41.5_1.1,6
58,58000,3549.750894639972,41.5_1.1,6
59,59000,3819.807952125752,41.5_1.1,6
60,60000,3614.931170335914,41.5_1.1,6
61,61000,3935.2074620209364,41.5_1.1,6
62,62000,3692.985412221066,41.5_1.1,6
63,63000,3529.6107469864605,41.5_1.1,6
64,64000,3755.926896889413,41.5_1.1,6
65,65000,3524.189570549259,41.5_1.1,6
66,66000,3445.4806026238566,41.5_1.1,6
67,67000,3584.625991122332,41.5_1.1,6
68,68000,3473.238656951549,41.5_1.1,6
69,69000,3359.7494933757644,41.5_1.1,6
70,70000,3674.026988352266,41.5_1.1,6
71,71000,3555.946964984426,41.5_1.1,6
72,72000,3709.9258135888,41.5_1.1,6
73,73000,3621.8782538899954,41.5_1.1,6
74,74000,3362.596831141997,41.5_1.1,6
75,75000,3440.396706281639,41.5_1.1,6
76,76000,3423.412792910217,41.5_1.1,6
77,77000,3366.0085022896087,41.5_1.1,6
78,78000,3455.8847365397105,41.5_1.1,6
79,79000,3528.3494567736425,41.5_1.1,6
80,80000,3502.5126502425064,41.5_1.1,6
81,81000,3446.568557336427,41.5_1.1,6
82,82000,3349.1978900340864,41.5_1.1,6
83,83000,3254.365402663479,41.5_1.1,6
84,84000,3392.1613711444866,41.5_1.1,6
85,85000,3405.169776626044,41.5_1.1,6
86,86000,3389.843471723441,41.5_1.1,6
87,87000,3187.2731068505973,41.5_1.1,6
88,88000,3390.8633958610985,41.5_1.1,6
89,89000,3301.0483251932064,41.5_1.1,6
90,90000,3392.9413150050054,41.5_1.1,6
91,91000,3427.1706745717847,41.5_1.1,6
92,92000,3233.143885068122,41.5_1.1,6
93,93000,3394.355683087704,41.5_1.1,6
94,94000,3429.9160469265325,41.5_1.1,6
95,95000,3390.0452363506292,41.5_1.1,6
96,96000,3582.9897929352387,41.5_1.1,6
97,97000,3253.760900804023,41.5_1.1,6
98,98000,3513.3416521076633,41.5_1.1,6
99,99000,3334.7586001745904,41.5_1.1,6
100,100000,3409.3540689052884,41.5_1.1,6
101,101000,3327.3872416305267,41.5_1.1,6
102,102000,3446.5322952135634,41.5_1.1,6
103,103000,3336.733627095666,41.5_1.1,6
104,104000,3229.3540120313974,41.5_1.1,6
105,105000,3222.7864684005594,41.5_1.1,6
106,106000,3297.571591099921,41.5_1.1,6
107,107000,3208.5800359404,41.5_1.1,6
108,108000,3241.573026076136,41.5_1.1,6
109,109000,3410.157828179586,41.5_1.1,6
110,110000,3316.936178930521,41.5_1.1,6
