,ite,cost,hyperparameter,repetition
0,1,33108.16426304626,41.5_1.1,34
1,1000,18350.440983185214,41.5_1.1,34
2,2000,14000.556264916935,41.5_1.1,34
3,3000,11953.825400141952,41.5_1.1,34
4,4000,11287.499435595433,41.5_1.1,34
5,5000,9285.069111312616,41.5_1.1,34
6,6000,8370.475529685942,41.5_1.1,34
7,7000,7276.239670596893,41.5_1.1,34
8,8000,7290.418967555195,41.5_1.1,34
9,9000,7151.291167495694,41.5_1.1,34
10,10000,6832.592057592927,41.5_1.1,34
11,11000,6567.853275877937,41.5_1.1,34
12,12000,6662.877471586596,41.5_1.1,34
13,13000,5811.393847661021,41.5_1.1,34
14,14000,5597.97779614961,41.5_1.1,34
15,15000,5974.206622900869,41.5_1.1,34
16,16000,5796.328312645602,41.5_1.1,34
17,17000,5047.806499113536,41.5_1.1,34
18,18000,5181.897657749621,41.5_1.1,34
19,19000,5234.752964500926,41.5_1.1,34
20,20000,4740.289791215445,41.5_1.1,34
21,21000,4757.476275185565,41.5_1.1,34
22,22000,4496.546373724397,41.5_1.1,34
23,23000,4630.493318502944,41.5_1.1,34
24,24000,4810.822519952096,41.5_1.1,34
25,25000,4739.625252246336,41.5_1.1,34
26,26000,4654.1540651534815,41.5_1.1,34
27,27000,4430.697806771643,41.5_1.1,34
28,28000,4475.065915034995,41.5_1.1,34
29,29000,4607.387678965183,41.5_1.1,34
30,30000,4389.604329513301,41.5_1.1,34
31,31000,4471.094613278843,41.5_1.1,34
32,32000,4269.442470338033,41.5_1.1,34
33,33000,4340.474214715953,41.5_1.1,34
34,34000,4107.175549160344,41.5_1.1,34
35,35000,4115.2627669835365,41.5_1.1,34
36,36000,4289.167607024525,41.5_1.1,34
37,37000,4058.1455180247503,41.5_1.1,34
38,38000,4069.200885068862,41.5_1.1,34
39,39000,3955.898752548085,41.5_1.1,34
40,40000,3906.159972945874,41.5_1.1,34
41,41000,4037.457065720902,41.5_1.1,34
42,42000,3920.481488467905,41.5_1.1,34
43,43000,3868.0214798167663,41.5_1.1,34
44,44000,3845.87882972932,41.5_1.1,34
45,45000,3940.8771418750825,41.5_1.1,34
46,46000,4171.019274002567,41.5_1.1,34
47,47000,3958.2766163941783,41.5_1.1,34
48,48000,3542.2594872807144,41.5_1.1,34
49,49000,3848.990672387026,41.5_1.1,34
50,50000,3834.9951017679505,41.5_1.1,34
51,51000,3806.9048336683245,41.5_1.1,34
52,52000,3585.0404116794048,41.5_1.1,34
53,53000,3923.682664326101,41.5_1.1,34
54,54000,3654.5292447149545,41.5_1.1,34
55,55000,3576.383926101139,41.5_1.1,34
56,56000,3560.1729695328304,41.5_1.1,34
57,57000,3715.6033344944394,41.5_1.1,34
58,58000,3698.25550032328,41.5_1.1,34
59,59000,3613.520018214495,41.5_1.1,34
60,60000,3577.8973357478117,41.5_1.1,34
61,61000,3620.9708673542787,41.5_1.1,34
62,62000,3691.3499075212017,41.5_1.1,34
63,63000,3623.069528271843,41.5_1.1,34
64,64000,3556.329453744226,41.5_1.1,34
65,65000,3759.728488138244,41.5_1.1,34
66,66000,3482.7586003918236,41.5_1.1,34
67,67000,3609.311538880207,41.5_1.1,34
68,68000,3510.0836229589413,41.5_1.1,34
69,69000,3422.4681190332276,41.5_1.1,34
70,70000,3441.092841667804,41.5_1.1,34
71,71000,3454.4521483336903,41.5_1.1,34
72,72000,3483.0623597340605,41.5_1.1,34
73,73000,3417.9316024661493,41.5_1.1,34
74,74000,3688.6922384156237,41.5_1.1,34
75,75000,3515.6613673448187,41.5_1.1,34
76,76000,3467.7381882878294,41.5_1.1,34
77,77000,3421.938863385126,41.5_1.1,34
78,78000,3549.5262126496655,41.5_1.1,34
79,79000,3513.429535577904,41.5_1.1,34
80,80000,3419.0969551096996,41.5_1.1,34
81,81000,3342.5181474059964,41.5_1.1,34
82,82000,3209.3901051332246,41.5_1.1,34
83,83000,3432.554183416044,41.5_1.1,34
84,84000,3386.6127474940417,41.5_1.1,34
85,85000,3521.837528581023,41.5_1.1,34
86,86000,3291.267579628471,41.5_1.1,34
87,87000,3410.196824828442,41.5_1.1,34
88,88000,3402.7765565591035,41.5_1.1,34
89,89000,3303.0747193844677,41.5_1.1,34
90,90000,3181.1168153404014,41.5_1.1,34
91,91000,3350.5217460427994,41.5_1.1,34
92,92000,3356.6002934087337,41.5_1.1,34
93,93000,3397.555511033834,41.5_1.1,34
94,94000,3200.9354403539196,41.5_1.1,34
95,95000,3303.241683926297,41.5_1.1,34
96,96000,3349.495114411908,41.5_1.1,34
97,97000,3390.8703965349046,41.5_1.1,34
98,98000,3352.3760684385843,41.5_1.1,34
99,99000,3225.9882281196965,41.5_1.1,34
100,100000,3361.9438881076985,41.5_1.1,34
101,101000,3398.5005561909516,41.5_1.1,34
102,102000,3273.8483543599305,41.5_1.1,34
103,103000,3281.047190457365,41.5_1.1,34
104,104000,3244.557346614817,41.5_1.1,34
105,105000,3425.277238892666,41.5_1.1,34
106,106000,3361.1407830584385,41.5_1.1,34
107,107000,3310.059371103505,41.5_1.1,34
108,108000,3248.5998219559374,41.5_1.1,34
109,109000,3199.8963241345923,41.5_1.1,34
110,110000,3410.9567999574865,41.5_1.1,34
111,111000,3269.8112737086944,41.5_1.1,34
112,112000,3284.1723248421313,41.5_1.1,34
113,113000,3321.0710562185754,41.5_1.1,34
114,114000,3187.616906464967,41.5_1.1,34
115,115000,3213.4335890139546,41.5_1.1,34
116,116000,3187.85728967875,41.5_1.1,34
117,117000,3190.7971222247447,41.5_1.1,34
118,118000,3328.6715896921264,41.5_1.1,34
119,119000,3122.7911017549936,41.5_1.1,34
120,120000,3304.550890737766,41.5_1.1,34
121,121000,3093.8870486740284,41.5_1.1,34
122,122000,3235.313862953407,41.5_1.1,34
123,123000,3425.8170871441434,41.5_1.1,34
124,124000,3166.8426118865314,41.5_1.1,34
125,125000,3217.54104512673,41.5_1.1,34
126,126000,3289.8765119895543,41.5_1.1,34
127,127000,3266.710325114078,41.5_1.1,34
128,128000,3200.6396470103255,41.5_1.1,34
129,129000,3363.8067526462587,41.5_1.1,34
130,130000,3143.1837402891683,41.5_1.1,34
131,131000,3223.451924793597,41.5_1.1,34
132,132000,3121.652218800037,41.5_1.1,34
133,133000,3352.9834687986286,41.5_1.1,34
134,134000,3214.1857664451118,41.5_1.1,34
135,135000,3345.214654877999,41.5_1.1,34
136,136000,3219.004017884357,41.5_1.1,34
137,137000,3114.581874205526,41.5_1.1,34
138,138000,3101.2223454056657,41.5_1.1,34
139,139000,3091.625281281265,41.5_1.1,34
140,140000,3185.967859832131,41.5_1.1,34
141,141000,3098.439272465326,41.5_1.1,34
142,142000,3248.091193950673,41.5_1.1,34
143,143000,3153.383588620732,41.5_1.1,34
144,144000,3120.1158855825106,41.5_1.1,34
145,145000,3226.8090759260576,41.5_1.1,34
146,146000,3137.4422759720683,41.5_1.1,34
147,147000,3208.989646862982,41.5_1.1,34
148,148000,3127.055771924257,41.5_1.1,34
149,149000,2951.5729339031636,41.5_1.1,34
150,150000,3112.4695442593534,41.5_1.1,34
151,151000,3247.140970753467,41.5_1.1,34
152,152000,3134.945633258518,41.5_1.1,34
153,153000,3074.024502163256,41.5_1.1,34
154,154000,3284.5799370056016,41.5_1.1,34
155,155000,3238.2655565400705,41.5_1.1,34
156,156000,3164.926536952537,41.5_1.1,34
157,157000,3085.3819024379145,41.5_1.1,34
158,158000,3342.506238413208,41.5_1.1,34
159,159000,3160.123475084844,41.5_1.1,34
160,160000,3149.6894329669167,41.5_1.1,34
161,161000,3316.8295123125713,41.5_1.1,34
162,162000,3228.846986811595,41.5_1.1,34
163,163000,3249.2200171534296,41.5_1.1,34
164,164000,3125.699507129955,41.5_1.1,34
165,165000,3069.6759431063174,41.5_1.1,34
166,166000,3079.973748427769,41.5_1.1,34
167,167000,3114.0333664762966,41.5_1.1,34
168,168000,3169.2587813830028,41.5_1.1,34
169,169000,3178.1584145715274,41.5_1.1,34
170,170000,3126.249272017245,41.5_1.1,34
171,171000,3043.4399353351178,41.5_1.1,34
172,172000,3045.5374471902605,41.5_1.1,34
173,173000,2990.2616298469256,41.5_1.1,34
174,174000,3142.675094988055,41.5_1.1,34
175,175000,3039.8990410815923,41.5_1.1,34
176,176000,3153.2507589120623,41.5_1.1,34
177,177000,3127.3928684640546,41.5_1.1,34
178,178000,3000.5655771560005,41.5_1.1,34
179,179000,3026.8454230958687,41.5_1.1,34
180,180000,3184.8738159523887,41.5_1.1,34
181,181000,3197.813494773408,41.5_1.1,34
182,182000,3202.167822551296,41.5_1.1,34
183,183000,2983.0998877054667,41.5_1.1,34
184,184000,3035.137876265926,41.5_1.1,34
185,185000,3229.18573993992,41.5_1.1,34
186,186000,3022.0216639641685,41.5_1.1,34
187,187000,3075.3187227884896,41.5_1.1,34
188,188000,3048.3096449455106,41.5_1.1,34
189,189000,3207.4694067484957,41.5_1.1,34
190,190000,2999.5252344921923,41.5_1.1,34
191,191000,3110.009833232175,41.5_1.1,34
192,192000,2968.983485124392,41.5_1.1,34
193,193000,3057.377103757442,41.5_1.1,34
194,194000,3023.3396298167186,41.5_1.1,34
195,195000,3025.813147796033,41.5_1.1,34
196,196000,3145.7399762627347,41.5_1.1,34
197,197000,2972.9879001905524,41.5_1.1,34
198,198000,3100.4496384454314,41.5_1.1,34
199,199000,3144.6360112995303,41.5_1.1,34
200,200000,3147.6322925008662,41.5_1.1,34
201,201000,3055.856828648011,41.5_1.1,34
202,202000,3023.542394781158,41.5_1.1,34
