,ite,cost,hyperparameter,repetition
0,1,34239.47180645143,41.5_1.1,41
1,1000,18451.89584172349,41.5_1.1,41
2,2000,12988.201300453962,41.5_1.1,41
3,3000,12637.418828382933,41.5_1.1,41
4,4000,10022.127598721541,41.5_1.1,41
5,5000,9621.760908402419,41.5_1.1,41
6,6000,8326.981194246862,41.5_1.1,41
7,7000,7721.979772214746,41.5_1.1,41
8,8000,7664.107499571428,41.5_1.1,41
9,9000,7028.9284379706905,41.5_1.1,41
10,10000,6738.9289402493705,41.5_1.1,41
11,11000,6401.723222589385,41.5_1.1,41
12,12000,5884.178368349386,41.5_1.1,41
13,13000,6154.9543959243065,41.5_1.1,41
14,14000,5718.325056821612,41.5_1.1,41
15,15000,5567.337010737609,41.5_1.1,41
16,16000,5657.521391119619,41.5_1.1,41
17,17000,5428.498642601922,41.5_1.1,41
18,18000,5273.6643365496,41.5_1.1,41
19,19000,5182.085092148655,41.5_1.1,41
20,20000,5026.927918403613,41.5_1.1,41
21,21000,4857.587125747179,41.5_1.1,41
22,22000,4585.3596630395205,41.5_1.1,41
23,23000,4528.191624668374,41.5_1.1,41
24,24000,4741.996286171015,41.5_1.1,41
25,25000,4691.983062827299,41.5_1.1,41
26,26000,4674.360408914394,41.5_1.1,41
27,27000,4428.849664856047,41.5_1.1,41
28,28000,4349.7447684649005,41.5_1.1,41
29,29000,4530.859784446621,41.5_1.1,41
30,30000,4631.28330711939,41.5_1.1,41
31,31000,4264.482948529769,41.5_1.1,41
32,32000,4368.582028748848,41.5_1.1,41
33,33000,4455.136139941269,41.5_1.1,41
34,34000,4268.175520413709,41.5_1.1,41
35,35000,4021.9855449309603,41.5_1.1,41
36,36000,4295.221169227727,41.5_1.1,41
37,37000,4273.777355531415,41.5_1.1,41
38,38000,3917.724085668144,41.5_1.1,41
39,39000,3838.659459168687,41.5_1.1,41
40,40000,3964.471641847293,41.5_1.1,41
41,41000,4054.1433421464035,41.5_1.1,41
42,42000,3943.0363536230548,41.5_1.1,41
43,43000,3955.632272169617,41.5_1.1,41
44,44000,3956.071168159611,41.5_1.1,41
45,45000,3929.9462661006783,41.5_1.1,41
46,46000,3886.3689269894417,41.5_1.1,41
47,47000,4044.5125385407273,41.5_1.1,41
48,48000,3874.1344453576753,41.5_1.1,41
49,49000,3905.8416889880673,41.5_1.1,41
50,50000,3779.9844527926,41.5_1.1,41
51,51000,3677.225016938236,41.5_1.1,41
52,52000,3901.605509736469,41.5_1.1,41
53,53000,3732.847635951985,41.5_1.1,41
54,54000,3854.1705843947875,41.5_1.1,41
55,55000,3511.9359793410317,41.5_1.1,41
