,ite,cost,hyperparameter,repetition
0,1,35054.63072856885,41.5_1.1,30
1,1000,17792.73033760347,41.5_1.1,30
2,2000,14751.565156023333,41.5_1.1,30
3,3000,11198.22347108937,41.5_1.1,30
4,4000,10168.181633186849,41.5_1.1,30
5,5000,9079.624032912925,41.5_1.1,30
6,6000,7703.333010311209,41.5_1.1,30
7,7000,7375.25784800607,41.5_1.1,30
8,8000,7878.701815869437,41.5_1.1,30
9,9000,6946.693830306105,41.5_1.1,30
10,10000,6935.334220602464,41.5_1.1,30
11,11000,6242.473504001583,41.5_1.1,30
12,12000,6704.672136344348,41.5_1.1,30
13,13000,6060.877625852109,41.5_1.1,30
14,14000,5969.223129107717,41.5_1.1,30
15,15000,5453.423342693541,41.5_1.1,30
16,16000,5391.136317228365,41.5_1.1,30
17,17000,5445.991179198096,41.5_1.1,30
18,18000,4894.9344151374335,41.5_1.1,30
19,19000,5146.37987483068,41.5_1.1,30
20,20000,4808.2740354979915,41.5_1.1,30
21,21000,4891.710032549181,41.5_1.1,30
22,22000,5104.748028990363,41.5_1.1,30
23,23000,4567.355504284252,41.5_1.1,30
24,24000,4580.877264353296,41.5_1.1,30
25,25000,4557.128511308898,41.5_1.1,30
26,26000,4637.767288351837,41.5_1.1,30
27,27000,4861.191188707233,41.5_1.1,30
28,28000,4474.7619712690885,41.5_1.1,30
29,29000,4583.500443926097,41.5_1.1,30
30,30000,4307.565557420358,41.5_1.1,30
31,31000,4353.378329858718,41.5_1.1,30
32,32000,4340.038069838859,41.5_1.1,30
33,33000,4294.432608829448,41.5_1.1,30
34,34000,4162.1622705161335,41.5_1.1,30
35,35000,4007.748792217672,41.5_1.1,30
36,36000,4044.7598850568556,41.5_1.1,30
37,37000,4084.2482496203097,41.5_1.1,30
38,38000,3982.7028855605654,41.5_1.1,30
39,39000,4049.3573092780744,41.5_1.1,30
40,40000,4047.834390137446,41.5_1.1,30
41,41000,4013.5647376240727,41.5_1.1,30
42,42000,4101.756307555101,41.5_1.1,30
43,43000,3942.1017530605513,41.5_1.1,30
44,44000,3792.528567027378,41.5_1.1,30
45,45000,3838.9708029501935,41.5_1.1,30
46,46000,3966.126623206854,41.5_1.1,30
47,47000,3783.84035142473,41.5_1.1,30
48,48000,3813.8407686445,41.5_1.1,30
49,49000,3893.4483680113794,41.5_1.1,30
50,50000,3827.620165518538,41.5_1.1,30
51,51000,3791.6073393723036,41.5_1.1,30
52,52000,3837.3956853248505,41.5_1.1,30
53,53000,3869.9172597690435,41.5_1.1,30
54,54000,3810.3119561721933,41.5_1.1,30
55,55000,3661.219790779931,41.5_1.1,30
56,56000,3732.3171326784764,41.5_1.1,30
57,57000,3478.6881299143347,41.5_1.1,30
58,58000,3732.4243513444194,41.5_1.1,30
59,59000,3822.802054272811,41.5_1.1,30
60,60000,3551.0032321889344,41.5_1.1,30
61,61000,3477.8658793502336,41.5_1.1,30
62,62000,3852.474773588911,41.5_1.1,30
63,63000,3865.797997499841,41.5_1.1,30
64,64000,3642.09511915587,41.5_1.1,30
65,65000,3528.5443015424103,41.5_1.1,30
66,66000,3671.8591472535836,41.5_1.1,30
67,67000,3586.5015261062854,41.5_1.1,30
68,68000,3756.1990797951203,41.5_1.1,30
69,69000,3742.761294695395,41.5_1.1,30
70,70000,3619.808697991781,41.5_1.1,30
71,71000,3474.1460768511406,41.5_1.1,30
72,72000,3586.1063497634714,41.5_1.1,30
73,73000,3520.289056893889,41.5_1.1,30
74,74000,3558.1907614468564,41.5_1.1,30
75,75000,3570.9498181886465,41.5_1.1,30
76,76000,3591.3481081428063,41.5_1.1,30
77,77000,3305.0053092082135,41.5_1.1,30
78,78000,3377.5109441786362,41.5_1.1,30
79,79000,3512.5578949084143,41.5_1.1,30
80,80000,3440.4521024374876,41.5_1.1,30
81,81000,3359.2665485897232,41.5_1.1,30
82,82000,3426.4882394112656,41.5_1.1,30
83,83000,3471.7393250690498,41.5_1.1,30
84,84000,3417.925438131018,41.5_1.1,30
85,85000,3503.9392392419754,41.5_1.1,30
86,86000,3393.8106982963445,41.5_1.1,30
87,87000,3377.1155606359875,41.5_1.1,30
88,88000,3548.9154490574147,41.5_1.1,30
89,89000,3553.375774609765,41.5_1.1,30
90,90000,3472.2650753692105,41.5_1.1,30
91,91000,3461.0556528057155,41.5_1.1,30
92,92000,3353.8484891827266,41.5_1.1,30
93,93000,3439.45133381003,41.5_1.1,30
94,94000,3402.285551220526,41.5_1.1,30
95,95000,3487.902797766221,41.5_1.1,30
96,96000,3376.619897595202,41.5_1.1,30
97,97000,3384.2891920599272,41.5_1.1,30
98,98000,3467.5329826065704,41.5_1.1,30
