,ite,cost,hyperparameter,repetition
0,1,35049.27422484486,41.5_1.1,35
1,1000,18163.14560297896,41.5_1.1,35
2,2000,13710.621402081875,41.5_1.1,35
3,3000,11518.932780518546,41.5_1.1,35
4,4000,9558.180714455862,41.5_1.1,35
5,5000,9692.933931266212,41.5_1.1,35
6,6000,8581.291345267453,41.5_1.1,35
7,7000,8283.438783524794,41.5_1.1,35
8,8000,7626.359139430258,41.5_1.1,35
9,9000,7105.846746830819,41.5_1.1,35
10,10000,6851.400584965213,41.5_1.1,35
11,11000,6850.709873869028,41.5_1.1,35
12,12000,6480.8457717642,41.5_1.1,35
13,13000,6029.316593565157,41.5_1.1,35
14,14000,5747.044880984146,41.5_1.1,35
15,15000,5873.600980394105,41.5_1.1,35
16,16000,5338.014245816663,41.5_1.1,35
17,17000,5396.462089097465,41.5_1.1,35
18,18000,5484.262457647989,41.5_1.1,35
19,19000,5159.652934523222,41.5_1.1,35
20,20000,4959.405115254813,41.5_1.1,35
21,21000,4953.987626661614,41.5_1.1,35
22,22000,5138.187767154852,41.5_1.1,35
23,23000,5122.020222946974,41.5_1.1,35
24,24000,4579.826864126456,41.5_1.1,35
25,25000,4623.313803903628,41.5_1.1,35
26,26000,4884.865540571683,41.5_1.1,35
27,27000,4498.9190463259465,41.5_1.1,35
28,28000,4510.875863161668,41.5_1.1,35
29,29000,4478.463848496211,41.5_1.1,35
30,30000,4425.879346425733,41.5_1.1,35
31,31000,4439.70423279688,41.5_1.1,35
32,32000,4305.876935538524,41.5_1.1,35
33,33000,4441.803846833722,41.5_1.1,35
34,34000,4381.180529073333,41.5_1.1,35
35,35000,4142.267685772443,41.5_1.1,35
36,36000,4354.382350507686,41.5_1.1,35
37,37000,4165.428788268373,41.5_1.1,35
38,38000,4074.668463361218,41.5_1.1,35
39,39000,4118.171753506869,41.5_1.1,35
40,40000,4098.7702314297785,41.5_1.1,35
41,41000,4062.849597503462,41.5_1.1,35
42,42000,4049.447967038216,41.5_1.1,35
43,43000,4160.247177326038,41.5_1.1,35
44,44000,3976.561356946603,41.5_1.1,35
45,45000,3802.272748627118,41.5_1.1,35
46,46000,3914.7887994809353,41.5_1.1,35
47,47000,3970.4991327564435,41.5_1.1,35
48,48000,3790.9298019382754,41.5_1.1,35
