,ite,cost,hyperparameter,repetition
0,1,33022.89194781326,41.5_1.1,47
1,1000,18543.86997060789,41.5_1.1,47
2,2000,14360.69067590371,41.5_1.1,47
3,3000,11764.514245704599,41.5_1.1,47
4,4000,10143.735571101062,41.5_1.1,47
5,5000,9357.57222359293,41.5_1.1,47
6,6000,8852.604024680604,41.5_1.1,47
7,7000,7714.211531053897,41.5_1.1,47
8,8000,7577.598280568017,41.5_1.1,47
9,9000,7452.00839051134,41.5_1.1,47
10,10000,7056.627203076958,41.5_1.1,47
11,11000,6775.843492351495,41.5_1.1,47
12,12000,6243.459355190862,41.5_1.1,47
13,13000,6090.10227687158,41.5_1.1,47
14,14000,5774.958913777709,41.5_1.1,47
15,15000,5796.203389513132,41.5_1.1,47
16,16000,5218.003985871193,41.5_1.1,47
17,17000,5112.842853776909,41.5_1.1,47
18,18000,5360.976466186307,41.5_1.1,47
19,19000,5124.32620974951,41.5_1.1,47
20,20000,4922.511136608377,41.5_1.1,47
21,21000,4636.23691192488,41.5_1.1,47
22,22000,4822.129811266281,41.5_1.1,47
23,23000,4700.221111971873,41.5_1.1,47
24,24000,4633.253466527689,41.5_1.1,47
25,25000,4655.17267687158,41.5_1.1,47
26,26000,4631.822662884669,41.5_1.1,47
27,27000,4642.85818684032,41.5_1.1,47
28,28000,4658.127323976396,41.5_1.1,47
29,29000,4443.937154606218,41.5_1.1,47
30,30000,4286.235780956554,41.5_1.1,47
31,31000,4289.533702232667,41.5_1.1,47
32,32000,4424.574974542945,41.5_1.1,47
33,33000,4351.2065829159355,41.5_1.1,47
34,34000,4360.986561063235,41.5_1.1,47
35,35000,4281.804223145128,41.5_1.1,47
36,36000,3943.2451185269833,41.5_1.1,47
37,37000,4333.387639333698,41.5_1.1,47
38,38000,4142.671577957354,41.5_1.1,47
39,39000,4022.5993083884878,41.5_1.1,47
40,40000,4119.826722505528,41.5_1.1,47
41,41000,3997.0888009339756,41.5_1.1,47
42,42000,4145.773506108313,41.5_1.1,47
43,43000,3910.51084600671,41.5_1.1,47
44,44000,3774.639702732105,41.5_1.1,47
45,45000,3788.8787807646836,41.5_1.1,47
46,46000,3745.8198613155187,41.5_1.1,47
47,47000,3810.0672235567736,41.5_1.1,47
48,48000,3820.3914997186553,41.5_1.1,47
49,49000,3819.649414865822,41.5_1.1,47
50,50000,3822.6103087987462,41.5_1.1,47
51,51000,3780.9050964200933,41.5_1.1,47
52,52000,3821.083517848498,41.5_1.1,47
53,53000,3840.5318226651243,41.5_1.1,47
54,54000,3738.305631236522,41.5_1.1,47
