ite,cost,cooling schedule,repetition
1,34325.41895379513,adaptive,1
1000,18525.44472965882,adaptive,1
2000,13571.425869658644,adaptive,1
3000,11263.26173404004,adaptive,1
4000,10624.598324788387,adaptive,1
5000,9623.950611039565,adaptive,1
6000,8650.820319882825,adaptive,1
7000,7491.0417160857305,adaptive,1
8000,7406.314246009571,adaptive,1
9000,7096.56001719125,adaptive,1
10000,6481.131519909469,adaptive,1
11000,6381.616528105365,adaptive,1
12000,6424.225820626147,adaptive,1
13000,6033.341797620571,adaptive,1
14000,5852.9537298390505,adaptive,1
15000,5947.049495029712,adaptive,1
16000,5741.60545775038,adaptive,1
17000,5575.063134946877,adaptive,1
18000,5522.340565786604,adaptive,1
19000,5443.3755828809235,adaptive,1
20000,4975.861924590175,adaptive,1
21000,5147.558890087482,adaptive,1
22000,4857.494160834438,adaptive,1
23000,4773.651635497204,adaptive,1
24000,4681.808811754158,adaptive,1
25000,4699.179578498256,adaptive,1
26000,4453.907804926839,adaptive,1
27000,4493.767086413591,adaptive,1
28000,4364.961249867575,adaptive,1
29000,4317.25219526112,adaptive,1
30000,4411.313011292309,adaptive,1
31000,4243.8182027494495,adaptive,1
32000,4226.5975699927485,adaptive,1
33000,4187.820652483013,adaptive,1
34000,4194.14902575734,adaptive,1
35000,4279.205630921656,adaptive,1
36000,4065.8262619988564,adaptive,1
37000,4120.385863741509,adaptive,1
38000,4128.587665377589,adaptive,1
39000,3879.661195576899,adaptive,1
40000,3920.385105436833,adaptive,1
41000,4068.342531600619,adaptive,1
42000,4000.3420605653664,adaptive,1
43000,3991.2678533196768,adaptive,1
44000,3963.14556505638,adaptive,1
45000,3686.973853525681,adaptive,1
46000,3863.8040938448894,adaptive,1
47000,3922.3186040719634,adaptive,1
48000,3774.389364652492,adaptive,1
49000,3743.0380035464004,adaptive,1
50000,3912.2640246943565,adaptive,1
51000,3673.5777226589844,adaptive,1
52000,3883.847668725609,adaptive,1
53000,3988.484008779793,adaptive,1
54000,4017.406162945436,adaptive,1
55000,3651.395437617469,adaptive,1
56000,3619.1806686877585,adaptive,1
57000,3411.5937614955005,adaptive,1
58000,3635.5755644180463,adaptive,1
59000,3550.5178647431085,adaptive,1
60000,3494.868680543159,adaptive,1
61000,3592.072795430483,adaptive,1
62000,3674.023312930225,adaptive,1
63000,3626.6756173295767,adaptive,1
64000,3620.0664476993898,adaptive,1
65000,3788.2349836899884,adaptive,1
66000,3571.4323057842157,adaptive,1
67000,3538.475507268946,adaptive,1
68000,3584.3952737495692,adaptive,1
69000,3539.271324316654,adaptive,1
70000,3721.834694300097,adaptive,1
71000,3439.712630168617,adaptive,1
72000,3408.285640183054,adaptive,1
73000,3744.439804664964,adaptive,1
74000,3474.070302390238,adaptive,1
75000,3465.002963743985,adaptive,1
76000,3466.7036431834763,adaptive,1
77000,3482.6474658422185,adaptive,1
78000,3447.444043736077,adaptive,1
79000,3359.773651601381,adaptive,1
