ite,cost,cooling schedule,repetition
1,32860.555528453886,adaptive,12
1000,20088.367564994496,adaptive,12
2000,13384.996304846625,adaptive,12
3000,11583.652192177446,adaptive,12
4000,10223.91013559313,adaptive,12
5000,9100.756795104882,adaptive,12
6000,8383.86908651967,adaptive,12
7000,7941.732234508361,adaptive,12
8000,7248.316984855513,adaptive,12
9000,7218.457000504963,adaptive,12
10000,6690.3431468806375,adaptive,12
11000,6134.885170226166,adaptive,12
12000,6363.4062394151715,adaptive,12
13000,6192.048306982165,adaptive,12
14000,5989.009189798112,adaptive,12
15000,5660.661997087667,adaptive,12
16000,5535.35355182397,adaptive,12
17000,5630.0884713102205,adaptive,12
18000,5362.154081635385,adaptive,12
19000,5170.315601861796,adaptive,12
20000,5250.5244225149745,adaptive,12
21000,4820.252234238935,adaptive,12
22000,4918.000912157332,adaptive,12
23000,4814.188489531803,adaptive,12
24000,4706.323545203095,adaptive,12
25000,4708.451963408286,adaptive,12
26000,4810.817225684163,adaptive,12
27000,4491.384334521771,adaptive,12
28000,4401.062558798179,adaptive,12
29000,4612.990404117738,adaptive,12
30000,4363.488566490599,adaptive,12
31000,4452.792295643355,adaptive,12
32000,4344.855425488083,adaptive,12
33000,4723.4406791309375,adaptive,12
34000,4242.6058181948765,adaptive,12
35000,4009.00764247743,adaptive,12
36000,4305.5455854735355,adaptive,12
37000,4161.438843814464,adaptive,12
38000,4091.782597291134,adaptive,12
39000,4166.109291618595,adaptive,12
40000,3997.2470484742976,adaptive,12
41000,3893.2373441215736,adaptive,12
42000,3982.8425704497463,adaptive,12
43000,4037.321236273409,adaptive,12
44000,3948.6466288363586,adaptive,12
45000,4035.835204851822,adaptive,12
46000,3912.1436102903926,adaptive,12
47000,3782.556011165173,adaptive,12
48000,3876.188169866498,adaptive,12
49000,3828.327017414649,adaptive,12
50000,3865.9280098465033,adaptive,12
51000,3878.6585425727544,adaptive,12
52000,3915.8114538651903,adaptive,12
53000,3862.6360446370245,adaptive,12
54000,3730.4006289175,adaptive,12
55000,3721.0494403171747,adaptive,12
56000,3768.868488750596,adaptive,12
57000,3752.286855984781,adaptive,12
58000,3712.5149393020747,adaptive,12
59000,3620.2801287350912,adaptive,12
60000,3544.8669933062474,adaptive,12
61000,3813.4931899274,adaptive,12
62000,3758.4679108464434,adaptive,12
63000,3544.850211662109,adaptive,12
64000,3537.5793730230553,adaptive,12
65000,3441.8262300435536,adaptive,12
66000,3553.7753796984134,adaptive,12
67000,3633.52275164363,adaptive,12
68000,3560.889426959298,adaptive,12
69000,3530.0947094729445,adaptive,12
70000,3508.106806973033,adaptive,12
71000,3507.5729599178676,adaptive,12
72000,3514.5209577457404,adaptive,12
73000,3478.6893541332283,adaptive,12
74000,3492.9182896099455,adaptive,12
75000,3443.654669623084,adaptive,12
76000,3449.156248646483,adaptive,12
77000,3544.1771159233094,adaptive,12
78000,3585.6777662531917,adaptive,12
79000,3446.352587162162,adaptive,12
80000,3403.641548252675,adaptive,12
81000,3483.3095362486774,adaptive,12
82000,3405.0915601341503,adaptive,12
83000,3679.1036944262996,adaptive,12
84000,3375.2939461372016,adaptive,12
85000,3413.208933939747,adaptive,12
86000,3391.5424959885127,adaptive,12
87000,3601.897029624557,adaptive,12
88000,3533.0009789366645,adaptive,12
89000,3396.8562086157185,adaptive,12
90000,3477.629440172809,adaptive,12
91000,3343.1760548287334,adaptive,12
92000,3448.528782878811,adaptive,12
93000,3453.440324135309,adaptive,12
94000,3413.7597556261594,adaptive,12
95000,3480.41015868693,adaptive,12
96000,3581.821053295744,adaptive,12
97000,3397.4924030278553,adaptive,12
98000,3405.169533307321,adaptive,12
99000,3454.0478124026113,adaptive,12
100000,3446.839305449451,adaptive,12
101000,3490.1340193403994,adaptive,12
102000,3307.007156655417,adaptive,12
103000,3344.385290078988,adaptive,12
104000,3276.5551193440147,adaptive,12
105000,3383.266481952433,adaptive,12
106000,3506.3953636715974,adaptive,12
107000,3337.9791249502973,adaptive,12
108000,3299.556243494045,adaptive,12
109000,3334.543220579305,adaptive,12
110000,3330.0702108962073,adaptive,12
111000,3247.24343313515,adaptive,12
112000,3206.499590749641,adaptive,12
113000,3370.6072998709574,adaptive,12
114000,3203.744966664773,adaptive,12
115000,3290.8386925540726,adaptive,12
116000,3236.5312815890775,adaptive,12
117000,3370.1360719480867,adaptive,12
118000,3379.7977587857017,adaptive,12
119000,3194.8160121911314,adaptive,12
120000,3228.189097352584,adaptive,12
121000,3302.2742362366143,adaptive,12
122000,3406.8282110823384,adaptive,12
123000,3164.8061072281776,adaptive,12
124000,3256.7688846595806,adaptive,12
125000,3268.0936531026155,adaptive,12
126000,3324.4968380020046,adaptive,12
127000,3191.2599376870103,adaptive,12
128000,3118.5220534123278,adaptive,12
129000,3197.1312910106326,adaptive,12
130000,3521.208384647711,adaptive,12
131000,3250.5487246918556,adaptive,12
132000,3263.4359952001873,adaptive,12
133000,3327.22734440027,adaptive,12
134000,3214.135427436001,adaptive,12
135000,3206.820092180025,adaptive,12
136000,3206.3852129390248,adaptive,12
137000,3209.7578201504334,adaptive,12
138000,3188.888823637887,adaptive,12
139000,3238.80957818672,adaptive,12
140000,3300.8965782282257,adaptive,12
141000,3200.198696898651,adaptive,12
142000,3304.8044665754164,adaptive,12
143000,3297.8681533957874,adaptive,12
144000,3130.8810978269394,adaptive,12
145000,3190.1523148961855,adaptive,12
146000,3222.7802473289794,adaptive,12
147000,3051.801803832388,adaptive,12
148000,3233.588479774747,adaptive,12
149000,3188.4735263150997,adaptive,12
150000,3075.362472078954,adaptive,12
151000,3146.2065028082525,adaptive,12
152000,3255.324311626152,adaptive,12
153000,3144.422117495421,adaptive,12
154000,3136.141583004434,adaptive,12
155000,3425.6701285769614,adaptive,12
156000,3277.6193506998447,adaptive,12
157000,3365.494081160507,adaptive,12
158000,3252.1848505649023,adaptive,12
159000,3259.9412926750406,adaptive,12
160000,3033.499113900821,adaptive,12
161000,3214.0330418870403,adaptive,12
162000,3147.0329186549952,adaptive,12
163000,3278.2212109398965,adaptive,12
164000,3343.970029895722,adaptive,12
165000,3318.2092452962943,adaptive,12
166000,3196.0876454015183,adaptive,12
167000,3202.314120598485,adaptive,12
168000,3125.7721765057972,adaptive,12
169000,3231.26919034595,adaptive,12
170000,3178.415733811299,adaptive,12
171000,3295.61388430566,adaptive,12
172000,3177.089225757331,adaptive,12
173000,2988.2721467816496,adaptive,12
174000,3184.1494689955575,adaptive,12
175000,3176.202612296139,adaptive,12
176000,3099.540552194074,adaptive,12
177000,3106.566898290427,adaptive,12
178000,2994.6770108755168,adaptive,12
179000,3363.401704807556,adaptive,12
180000,3152.5049327521388,adaptive,12
181000,3201.569322869682,adaptive,12
182000,3234.320989570258,adaptive,12
183000,3228.9790204293645,adaptive,12
184000,3190.2484653085144,adaptive,12
185000,3162.00553153238,adaptive,12
186000,3081.8411008446014,adaptive,12
187000,3262.668412728178,adaptive,12
188000,3096.5591647749798,adaptive,12
189000,3221.812836934247,adaptive,12
190000,3059.0467674534316,adaptive,12
191000,3064.414957990382,adaptive,12
192000,3157.699222470974,adaptive,12
193000,3092.727983303213,adaptive,12
194000,3186.1164671148354,adaptive,12
195000,2961.2414585092424,adaptive,12
196000,3241.8063512916424,adaptive,12
197000,2982.5875682349406,adaptive,12
198000,3173.3888209050465,adaptive,12
199000,3185.714875885782,adaptive,12
200000,3228.3328697692036,adaptive,12
201000,3291.784289230449,adaptive,12
202000,3005.167670390727,adaptive,12
203000,3114.197459416341,adaptive,12
204000,3014.291443953157,adaptive,12
205000,3063.293730105002,adaptive,12
206000,3055.165933540501,adaptive,12
207000,3181.5248726884784,adaptive,12
208000,3123.5016464863174,adaptive,12
209000,3115.1925931842725,adaptive,12
210000,2988.7867853228217,adaptive,12
211000,2956.694081516185,adaptive,12
212000,2950.612132000142,adaptive,12
213000,3012.1712705300865,adaptive,12
214000,3071.7421526426842,adaptive,12
215000,3056.9471152214146,adaptive,12
216000,3132.537600901623,adaptive,12
217000,3209.5437605505867,adaptive,12
218000,3031.3491159529367,adaptive,12
219000,3243.001127473234,adaptive,12
220000,3103.843639350981,adaptive,12
221000,3029.8121716537776,adaptive,12
222000,3118.605271199035,adaptive,12
223000,3055.829640997668,adaptive,12
224000,3139.688976602188,adaptive,12
225000,3221.1815476138,adaptive,12
226000,2975.9289498706426,adaptive,12
227000,2961.3222900192372,adaptive,12
228000,3261.6187771241207,adaptive,12
229000,2976.490743177538,adaptive,12
230000,3252.563654583157,adaptive,12
231000,3094.4029457810193,adaptive,12
232000,3011.9474220271686,adaptive,12
233000,3060.109874537331,adaptive,12
234000,3100.265333852077,adaptive,12
235000,3096.769385675004,adaptive,12
236000,3128.7645147174217,adaptive,12
237000,3095.951172881787,adaptive,12
238000,3082.9901067604374,adaptive,12
239000,3067.157466350024,adaptive,12
240000,3141.2331067615582,adaptive,12
241000,3127.7331611572677,adaptive,12
242000,3034.73767775967,adaptive,12
243000,3126.257627845176,adaptive,12
244000,3011.1811465835094,adaptive,12
245000,3049.647816542448,adaptive,12
246000,3055.1598265184025,adaptive,12
247000,3131.7190520002714,adaptive,12
248000,3112.4061476921847,adaptive,12
249000,3048.8256140835315,adaptive,12
250000,3114.953042054083,adaptive,12
251000,2996.8662148059357,adaptive,12
252000,3028.29667202986,adaptive,12
253000,3149.069352258294,adaptive,12
254000,3086.7588367431626,adaptive,12
255000,3148.7376222397334,adaptive,12
256000,3065.608938096704,adaptive,12
257000,3024.8443233757985,adaptive,12
258000,2941.763868861836,adaptive,12
259000,2939.366485234003,adaptive,12
260000,3165.5488741753356,adaptive,12
261000,3128.9076492646604,adaptive,12
262000,3020.1679674659385,adaptive,12
263000,3118.584775633905,adaptive,12
264000,3165.7731033534533,adaptive,12
265000,3024.0405116640422,adaptive,12
