ite,cost,cooling schedule,repetition
1,32995.23688541491,adaptive,36
1000,18158.708307203622,adaptive,36
2000,14300.562168615232,adaptive,36
3000,11242.94955228408,adaptive,36
4000,11061.533262520898,adaptive,36
5000,9835.845730811208,adaptive,36
6000,8626.176917704299,adaptive,36
7000,8544.818981498689,adaptive,36
8000,7445.662261545392,adaptive,36
9000,6989.625212480936,adaptive,36
10000,6872.040466642679,adaptive,36
11000,6226.841095956436,adaptive,36
12000,6188.500370164577,adaptive,36
13000,6291.474797980902,adaptive,36
14000,5974.4570784683265,adaptive,36
15000,5800.58214425113,adaptive,36
16000,5612.6684485076985,adaptive,36
17000,5646.479859676885,adaptive,36
18000,5377.702830316756,adaptive,36
19000,5043.849832409072,adaptive,36
20000,5358.737741096979,adaptive,36
21000,5003.422878550222,adaptive,36
22000,4894.947885354484,adaptive,36
23000,4906.820875003932,adaptive,36
24000,4864.74916336165,adaptive,36
25000,4715.1986087736095,adaptive,36
26000,4281.708570870701,adaptive,36
27000,4363.782688948766,adaptive,36
28000,4253.937373847813,adaptive,36
29000,4708.3050741586,adaptive,36
30000,4270.150493663692,adaptive,36
31000,4505.409263995594,adaptive,36
32000,3963.8900038566067,adaptive,36
33000,4371.3490524319795,adaptive,36
34000,4272.103402650148,adaptive,36
35000,4316.1948230898,adaptive,36
36000,4097.134674954954,adaptive,36
37000,4080.001601403362,adaptive,36
38000,3991.0146560514504,adaptive,36
39000,4171.484004871214,adaptive,36
40000,4180.436979781798,adaptive,36
41000,3868.754638843353,adaptive,36
42000,3952.284781083113,adaptive,36
43000,3882.017000774199,adaptive,36
44000,3916.0021862168246,adaptive,36
45000,4063.1439561855445,adaptive,36
46000,3755.2788171889856,adaptive,36
47000,3879.8824186248276,adaptive,36
48000,4027.211292637684,adaptive,36
49000,3764.78039955671,adaptive,36
50000,3985.4294938802004,adaptive,36
51000,3775.7467769775208,adaptive,36
52000,3898.465323677519,adaptive,36
53000,3787.4293680018027,adaptive,36
54000,3614.2158577436157,adaptive,36
55000,3821.5453180138065,adaptive,36
56000,3623.9865219237768,adaptive,36
57000,3721.949429035096,adaptive,36
58000,3544.2883161814657,adaptive,36
59000,3845.991492228011,adaptive,36
60000,3698.199695127272,adaptive,36
61000,3673.215373800292,adaptive,36
62000,3624.5679249409222,adaptive,36
63000,3540.2606589420934,adaptive,36
64000,3932.6030567192024,adaptive,36
65000,3672.0544503724304,adaptive,36
66000,3675.5261027172733,adaptive,36
67000,3547.9307714644524,adaptive,36
68000,3637.9350850108362,adaptive,36
69000,3709.58576546507,adaptive,36
70000,3499.2736164573084,adaptive,36
71000,3590.821108694344,adaptive,36
72000,3382.2773601869726,adaptive,36
73000,3464.057269904189,adaptive,36
74000,3436.8988360823423,adaptive,36
75000,3404.240465811454,adaptive,36
76000,3288.6598682555355,adaptive,36
77000,3444.6642949389357,adaptive,36
78000,3606.738330474695,adaptive,36
79000,3502.506168975186,adaptive,36
80000,3543.2515873893076,adaptive,36
81000,3587.3928573792696,adaptive,36
82000,3453.8956027241456,adaptive,36
83000,3327.7399751328935,adaptive,36
84000,3524.630854992916,adaptive,36
85000,3749.885782728745,adaptive,36
86000,3441.027265695988,adaptive,36
87000,3520.6525517079963,adaptive,36
88000,3570.620936354479,adaptive,36
89000,3497.69652234409,adaptive,36
90000,3401.1545322271154,adaptive,36
91000,3636.4288870466753,adaptive,36
92000,3369.785249043658,adaptive,36
93000,3601.7153683782017,adaptive,36
94000,3477.141434222508,adaptive,36
95000,3348.7016264566687,adaptive,36
96000,3379.810108513981,adaptive,36
97000,3369.5988388013757,adaptive,36
98000,3191.303254857511,adaptive,36
99000,3391.278737801885,adaptive,36
100000,3462.7678309859266,adaptive,36
101000,3376.104384965532,adaptive,36
102000,3321.5534619818714,adaptive,36
103000,3225.235384823794,adaptive,36
104000,3315.9049150928004,adaptive,36
105000,3229.585253558877,adaptive,36
106000,3283.5358653442345,adaptive,36
107000,3536.1752135385045,adaptive,36
108000,3238.0572132989573,adaptive,36
109000,3295.2121393402663,adaptive,36
110000,3364.4853627240113,adaptive,36
111000,3124.5106776255284,adaptive,36
112000,3103.398395755369,adaptive,36
113000,3294.12580143364,adaptive,36
114000,3409.369288719619,adaptive,36
115000,3328.5621852782483,adaptive,36
116000,3331.5855688714855,adaptive,36
117000,3162.542063790921,adaptive,36
118000,3376.384175573332,adaptive,36
119000,3296.2081413747787,adaptive,36
120000,3221.1522966404823,adaptive,36
121000,3176.2281412829766,adaptive,36
122000,3223.0077312126286,adaptive,36
123000,3357.39566641062,adaptive,36
124000,3264.425685746373,adaptive,36
125000,3244.5115832645984,adaptive,36
126000,3324.9554514111264,adaptive,36
127000,3326.08742591635,adaptive,36
128000,3200.3880996675807,adaptive,36
129000,3227.320291261443,adaptive,36
130000,3330.6856745988484,adaptive,36
131000,3220.22059051387,adaptive,36
132000,3427.5421130590853,adaptive,36
133000,3183.043041261414,adaptive,36
134000,3285.2210744594895,adaptive,36
135000,3255.0745682412576,adaptive,36
136000,3233.143042870744,adaptive,36
137000,3203.713896070058,adaptive,36
138000,3207.820274581257,adaptive,36
139000,3225.428326215079,adaptive,36
140000,3525.551455144478,adaptive,36
141000,3144.8802539561802,adaptive,36
142000,3283.029043839407,adaptive,36
143000,3213.3746680437885,adaptive,36
144000,3335.7770821646345,adaptive,36
145000,3194.7404257676894,adaptive,36
146000,3328.22943808191,adaptive,36
147000,3245.4525811291633,adaptive,36
148000,3239.4086486013816,adaptive,36
149000,3254.234876570629,adaptive,36
150000,3073.3159158495982,adaptive,36
151000,3116.6036553648887,adaptive,36
152000,3157.7917988639774,adaptive,36
153000,3269.3653492867475,adaptive,36
154000,3170.4395934864992,adaptive,36
155000,3169.0367894408764,adaptive,36
156000,3264.3028274771073,adaptive,36
157000,3078.6008642721954,adaptive,36
158000,3177.746182410246,adaptive,36
159000,3340.1752317640794,adaptive,36
160000,3141.2852259571123,adaptive,36
161000,3143.0557045306705,adaptive,36
162000,3057.085556398161,adaptive,36
163000,3300.271457572265,adaptive,36
164000,3288.99305091768,adaptive,36
165000,3152.572972299272,adaptive,36
166000,3230.223206291623,adaptive,36
167000,3003.6927526055224,adaptive,36
168000,3130.66359250396,adaptive,36
169000,3241.1769712875252,adaptive,36
170000,3062.6710058921576,adaptive,36
171000,3041.6868246232643,adaptive,36
172000,3029.9851666401405,adaptive,36
173000,3313.7245404107366,adaptive,36
174000,3171.007364689143,adaptive,36
175000,3281.257856772166,adaptive,36
176000,3196.3389914580516,adaptive,36
177000,3099.3934275818433,adaptive,36
178000,3096.319205889342,adaptive,36
179000,3225.97454257069,adaptive,36
180000,2987.757382690204,adaptive,36
181000,3122.7120808410227,adaptive,36
182000,3178.545511977811,adaptive,36
183000,3067.406915788171,adaptive,36
184000,3142.34740953884,adaptive,36
185000,2986.9733567563253,adaptive,36
186000,3138.7557020088957,adaptive,36
187000,3200.4366526383646,adaptive,36
188000,3052.416202348904,adaptive,36
189000,3171.137483967274,adaptive,36
190000,3246.5799770140848,adaptive,36
191000,3166.218474312352,adaptive,36
192000,3021.059684072821,adaptive,36
193000,3197.5719151902654,adaptive,36
194000,3264.2111729676244,adaptive,36
195000,3130.380757451866,adaptive,36
196000,3193.4596272181,adaptive,36
197000,2999.280856638238,adaptive,36
198000,3090.446401551199,adaptive,36
199000,3122.1579736698436,adaptive,36
200000,3125.2737419258215,adaptive,36
201000,3175.073937483893,adaptive,36
202000,3102.7827826347407,adaptive,36
203000,3126.1323989541183,adaptive,36
204000,3147.4998931837326,adaptive,36
205000,3152.126475694425,adaptive,36
206000,3174.7879221328003,adaptive,36
207000,3108.4571494206407,adaptive,36
208000,3154.1216284987986,adaptive,36
209000,3081.2111715463716,adaptive,36
210000,3149.8804186738166,adaptive,36
211000,3010.466796838274,adaptive,36
212000,3204.099300192538,adaptive,36
213000,3104.006449193818,adaptive,36
214000,3122.3638733704433,adaptive,36
215000,2954.7402308433443,adaptive,36
216000,3189.78146464713,adaptive,36
217000,3039.9592300474524,adaptive,36
218000,3190.385014381915,adaptive,36
219000,3072.907606095367,adaptive,36
220000,3120.3915012451107,adaptive,36
221000,3134.6219572843556,adaptive,36
222000,3124.983266755108,adaptive,36
223000,3220.6926510641874,adaptive,36
224000,3020.2463352165482,adaptive,36
225000,3038.625093184266,adaptive,36
226000,3097.1852363675275,adaptive,36
227000,3096.519032366891,adaptive,36
228000,3132.007906703802,adaptive,36
229000,3127.5166919976273,adaptive,36
230000,3035.0693717650547,adaptive,36
231000,3050.0813246844436,adaptive,36
232000,3106.2599542529765,adaptive,36
233000,2956.3697253001747,adaptive,36
234000,2957.41719895111,adaptive,36
235000,3205.69771180858,adaptive,36
236000,3142.110795699495,adaptive,36
237000,3053.726409779794,adaptive,36
238000,3090.734215200436,adaptive,36
239000,3071.613327368478,adaptive,36
240000,3085.609533444986,adaptive,36
241000,3099.815631673906,adaptive,36
242000,3044.611949389999,adaptive,36
243000,3140.159538097406,adaptive,36
244000,2998.1278855153764,adaptive,36
245000,3047.742903356433,adaptive,36
246000,3024.3973889840595,adaptive,36
247000,3011.987074254544,adaptive,36
248000,3156.9438562750565,adaptive,36
249000,3238.6099263856213,adaptive,36
250000,3102.0706091979014,adaptive,36
251000,3017.936463264584,adaptive,36
252000,3085.4348278972957,adaptive,36
253000,2930.9781006913317,adaptive,36
254000,3085.0320539806817,adaptive,36
255000,3149.276140287505,adaptive,36
256000,3186.1327991765984,adaptive,36
257000,3137.3459309486066,adaptive,36
258000,3053.560777311724,adaptive,36
259000,3147.415301988557,adaptive,36
260000,3041.6608431868663,adaptive,36
261000,3066.0962168214583,adaptive,36
262000,2979.8919916973728,adaptive,36
263000,3150.172012752043,adaptive,36
264000,3077.122242023649,adaptive,36
265000,2994.6192242036386,adaptive,36
266000,2990.365538863456,adaptive,36
267000,3015.4393513417717,adaptive,36
268000,3113.559334088555,adaptive,36
269000,3042.101745651313,adaptive,36
270000,3072.54374413038,adaptive,36
271000,3002.8507216572475,adaptive,36
272000,3063.102347366102,adaptive,36
273000,3025.6230133263966,adaptive,36
274000,3133.5185445103407,adaptive,36
275000,3141.524004602318,adaptive,36
276000,3155.6519048760333,adaptive,36
277000,3053.9128632315724,adaptive,36
278000,2954.743882987633,adaptive,36
279000,3028.9159249308454,adaptive,36
280000,2994.4981723133733,adaptive,36
281000,3019.597652064509,adaptive,36
282000,3068.913920071939,adaptive,36
283000,3168.0139144093637,adaptive,36
284000,3180.123083624514,adaptive,36
285000,3178.2957062208357,adaptive,36
286000,3160.940567040119,adaptive,36
287000,3055.6349753713525,adaptive,36
288000,3127.6081635745836,adaptive,36
289000,3152.310407285927,adaptive,36
290000,3005.390660012729,adaptive,36
291000,2967.8266745387864,adaptive,36
292000,3096.8220804527973,adaptive,36
293000,3085.883916648651,adaptive,36
294000,2999.894062925613,adaptive,36
295000,2936.660998529077,adaptive,36
296000,2993.128410598261,adaptive,36
297000,3103.3978422213363,adaptive,36
298000,2955.034041026132,adaptive,36
299000,3142.4292256538115,adaptive,36
300000,3188.2640552228677,adaptive,36
301000,2993.016613672888,adaptive,36
302000,3004.8969522438088,adaptive,36
303000,2994.760050863734,adaptive,36
304000,2931.390811749251,adaptive,36
305000,2992.715519914214,adaptive,36
306000,2987.8626968418444,adaptive,36
307000,3041.088747941856,adaptive,36
308000,2990.9764302039293,adaptive,36
309000,3084.8148191462437,adaptive,36
310000,2979.5263977653703,adaptive,36
311000,3088.5730229422456,adaptive,36
312000,2940.673749196282,adaptive,36
313000,3029.4019567581176,adaptive,36
314000,2978.358309933718,adaptive,36
315000,3019.568537484306,adaptive,36
316000,3058.1354832508696,adaptive,36
317000,3074.669454808553,adaptive,36
318000,2932.64485099013,adaptive,36
319000,3058.460095953383,adaptive,36
320000,3032.7225560654897,adaptive,36
321000,2862.718961117207,adaptive,36
322000,3097.8791984976688,adaptive,36
323000,2995.847906298315,adaptive,36
324000,3043.768926236383,adaptive,36
325000,2940.629373975476,adaptive,36
326000,3100.8502408359104,adaptive,36
327000,3033.492235508085,adaptive,36
328000,3080.3245267887874,adaptive,36
329000,3002.1713186630805,adaptive,36
330000,3081.498675985467,adaptive,36
331000,3121.3156974311446,adaptive,36
332000,3085.939056515018,adaptive,36
333000,3061.976123825016,adaptive,36
334000,3041.721845769612,adaptive,36
335000,3100.6239071826312,adaptive,36
336000,3140.81854734432,adaptive,36
337000,3164.951515103433,adaptive,36
338000,2984.6239318469825,adaptive,36
339000,3084.729910507411,adaptive,36
340000,2998.274098994352,adaptive,36
341000,2959.187694695295,adaptive,36
342000,2970.3166112153776,adaptive,36
343000,3077.2202528675466,adaptive,36
344000,3032.4315813414373,adaptive,36
345000,3178.130526335408,adaptive,36
346000,3066.364290645861,adaptive,36
347000,2913.050638010924,adaptive,36
348000,3019.5204307016324,adaptive,36
349000,2815.315887229455,adaptive,36
350000,3104.913993311464,adaptive,36
351000,3071.59518981315,adaptive,36
352000,2917.34947164112,adaptive,36
353000,3060.6805890547585,adaptive,36
354000,2862.1103858759857,adaptive,36
355000,3063.6957091504155,adaptive,36
356000,3022.865261884945,adaptive,36
357000,3181.290945767557,adaptive,36
358000,3014.191060855194,adaptive,36
359000,2999.494784406033,adaptive,36
360000,2946.070985489903,adaptive,36
361000,2966.1578530803713,adaptive,36
362000,2954.7720575351905,adaptive,36
363000,2980.114139243719,adaptive,36
364000,2991.3251278516755,adaptive,36
365000,2928.4771477046475,adaptive,36
366000,2960.8064701503276,adaptive,36
367000,3030.228169333753,adaptive,36
368000,2907.3841431493133,adaptive,36
369000,3074.672304214702,adaptive,36
370000,2975.0989891555705,adaptive,36
371000,2952.0443513935684,adaptive,36
372000,3007.050787755071,adaptive,36
373000,2988.009859427904,adaptive,36
374000,2935.1638545497676,adaptive,36
375000,3018.9580691916876,adaptive,36
376000,2988.5208909979624,adaptive,36
377000,3074.677862602817,adaptive,36
378000,3026.724098782005,adaptive,36
379000,2901.7371004149727,adaptive,36
380000,3095.9870977524115,adaptive,36
381000,2915.6093931012915,adaptive,36
382000,2967.5309011652635,adaptive,36
383000,2929.2601594512485,adaptive,36
384000,3030.3327561410615,adaptive,36
385000,2991.0334016762013,adaptive,36
386000,2986.303438776549,adaptive,36
387000,3140.8814177518184,adaptive,36
388000,3111.5143515507034,adaptive,36
389000,2977.521147829936,adaptive,36
390000,2987.628698279261,adaptive,36
391000,2977.245772093656,adaptive,36
392000,2995.7372536652606,adaptive,36
393000,2869.28169289367,adaptive,36
394000,3055.1862988380044,adaptive,36
395000,2957.7260780298457,adaptive,36
396000,3068.377633008214,adaptive,36
397000,2958.2790727828333,adaptive,36
398000,2960.490850821586,adaptive,36
399000,2961.034501223987,adaptive,36
400000,2968.898715945979,adaptive,36
401000,3171.323109672337,adaptive,36
402000,3042.8054791689633,adaptive,36
403000,2952.894612530919,adaptive,36
404000,3034.0125372973307,adaptive,36
405000,3005.0609512281303,adaptive,36
406000,3026.7050190530063,adaptive,36
407000,3035.899022345394,adaptive,36
408000,2948.0670602752994,adaptive,36
409000,3017.622924306309,adaptive,36
410000,2990.247618298475,adaptive,36
411000,2997.396347270855,adaptive,36
412000,3014.1942433723034,adaptive,36
413000,2910.0607967742,adaptive,36
414000,3046.859039361734,adaptive,36
415000,2960.944534626777,adaptive,36
416000,3043.51256542756,adaptive,36
417000,2987.0197333502715,adaptive,36
418000,2915.858165945561,adaptive,36
419000,2869.2194108367894,adaptive,36
420000,3114.2361157555274,adaptive,36
421000,3025.450825742189,adaptive,36
422000,3024.5483099063595,adaptive,36
423000,2868.704108710078,adaptive,36
424000,2935.0878153349154,adaptive,36
425000,3060.0650056620534,adaptive,36
426000,2959.240273973072,adaptive,36
427000,3034.866465452079,adaptive,36
428000,3040.1748479286375,adaptive,36
429000,2998.992325410208,adaptive,36
430000,2955.4344648600263,adaptive,36
431000,2940.872061597155,adaptive,36
432000,3012.9858666229125,adaptive,36
433000,2926.524781714992,adaptive,36
434000,3004.5574616072004,adaptive,36
435000,3085.1276757906667,adaptive,36
436000,2990.4280071681897,adaptive,36
437000,3061.218729467595,adaptive,36
438000,2862.4782161948633,adaptive,36
439000,3024.2152167756176,adaptive,36
440000,3117.0700268480978,adaptive,36
441000,2986.514404668527,adaptive,36
442000,2941.9867831746647,adaptive,36
443000,2962.542877220006,adaptive,36
444000,2912.546327935892,adaptive,36
445000,2978.812915047002,adaptive,36
446000,2863.8274128027233,adaptive,36
447000,2996.0884339861573,adaptive,36
448000,3068.835494915165,adaptive,36
449000,3020.5595736234595,adaptive,36
450000,3037.8840682628042,adaptive,36
451000,2917.8819121443503,adaptive,36
