ite,cost,cooling schedule,repetition
1,35304.49995086906,adaptive,15
1000,17370.329845747226,adaptive,15
2000,13285.496299175218,adaptive,15
3000,11545.201527325176,adaptive,15
4000,10148.010421289428,adaptive,15
5000,9448.264328954383,adaptive,15
6000,8619.02047920542,adaptive,15
7000,8062.334890031944,adaptive,15
8000,7503.194118942943,adaptive,15
9000,7693.303611735912,adaptive,15
10000,6801.618039472053,adaptive,15
11000,6335.327033663332,adaptive,15
12000,6391.280323254333,adaptive,15
13000,5915.352616476602,adaptive,15
14000,6131.920841609911,adaptive,15
15000,5466.139313062416,adaptive,15
16000,5622.921335798257,adaptive,15
17000,5453.9925069073315,adaptive,15
18000,5452.586431498988,adaptive,15
19000,5202.969229802856,adaptive,15
20000,5025.77945494903,adaptive,15
21000,5059.945717926872,adaptive,15
22000,5006.14857443118,adaptive,15
23000,4721.6630155017165,adaptive,15
24000,4652.406841617244,adaptive,15
25000,4532.107851777737,adaptive,15
26000,4562.2818490524505,adaptive,15
27000,4478.7528747783035,adaptive,15
28000,4644.903636754707,adaptive,15
29000,4449.871838102662,adaptive,15
30000,4342.396958902287,adaptive,15
31000,4381.70845650541,adaptive,15
32000,4153.4925744749125,adaptive,15
33000,4207.588065719396,adaptive,15
34000,4135.411329818699,adaptive,15
35000,3920.629082813099,adaptive,15
36000,4104.135514369271,adaptive,15
37000,4096.128840092801,adaptive,15
38000,3966.2269582446193,adaptive,15
39000,3928.473004547467,adaptive,15
40000,3926.995365719854,adaptive,15
41000,3972.2883670808183,adaptive,15
42000,3948.9195772131793,adaptive,15
43000,4028.0104146656195,adaptive,15
44000,3844.5974158181966,adaptive,15
45000,4099.442449453229,adaptive,15
46000,3996.1637660382116,adaptive,15
47000,3965.083228464059,adaptive,15
48000,3963.240814822591,adaptive,15
49000,3863.3706976450662,adaptive,15
50000,3897.5955775657712,adaptive,15
51000,3796.220040414097,adaptive,15
52000,3919.8718104171694,adaptive,15
53000,3760.5509966599093,adaptive,15
54000,3581.609644829836,adaptive,15
55000,3784.5156001632117,adaptive,15
56000,3831.284307477282,adaptive,15
57000,3697.869299949615,adaptive,15
58000,3634.5584546138703,adaptive,15
59000,3842.015944992852,adaptive,15
60000,3687.2734207269755,adaptive,15
61000,3699.2262110470047,adaptive,15
62000,3617.0581149934765,adaptive,15
63000,3563.854566339205,adaptive,15
64000,3582.888031664764,adaptive,15
65000,3614.036142262379,adaptive,15
66000,3704.057935098741,adaptive,15
67000,3611.7565748854763,adaptive,15
68000,3495.1205769033913,adaptive,15
69000,3630.379665684747,adaptive,15
70000,3635.003704249226,adaptive,15
71000,3647.0383668145037,adaptive,15
72000,3610.8405357064407,adaptive,15
73000,3535.6113001543745,adaptive,15
74000,3447.716405483897,adaptive,15
75000,3421.4545979320706,adaptive,15
76000,3778.658053496994,adaptive,15
77000,3550.14369519523,adaptive,15
78000,3518.710325844016,adaptive,15
79000,3507.6121589158524,adaptive,15
80000,3434.35563885948,adaptive,15
81000,3414.9864156645463,adaptive,15
82000,3410.320762599908,adaptive,15
83000,3459.333423390282,adaptive,15
84000,3536.0210897878615,adaptive,15
85000,3346.2537041699184,adaptive,15
86000,3522.7414621269554,adaptive,15
87000,3391.035386709952,adaptive,15
88000,3508.6506697174505,adaptive,15
89000,3548.5363891644606,adaptive,15
90000,3388.631759826543,adaptive,15
91000,3545.50402882939,adaptive,15
92000,3411.271522143814,adaptive,15
93000,3429.6058973564996,adaptive,15
94000,3234.8009381667152,adaptive,15
95000,3415.2500768511513,adaptive,15
96000,3349.2371491874196,adaptive,15
97000,3309.8422062145314,adaptive,15
98000,3495.2162572810594,adaptive,15
99000,3544.0277520081713,adaptive,15
100000,3444.4982306740903,adaptive,15
101000,3401.600876960265,adaptive,15
102000,3216.091837163714,adaptive,15
103000,3402.7085562096645,adaptive,15
104000,3457.874291340367,adaptive,15
105000,3342.5939520220145,adaptive,15
106000,3234.5817165806848,adaptive,15
107000,3276.8286695784873,adaptive,15
108000,3468.034498633696,adaptive,15
109000,3258.4749321890527,adaptive,15
110000,3383.954630599235,adaptive,15
111000,3205.7342688508015,adaptive,15
112000,3356.417306877476,adaptive,15
113000,3330.0147467295455,adaptive,15
114000,3425.865071952754,adaptive,15
115000,3214.5235986523708,adaptive,15
116000,3310.0764512762707,adaptive,15
117000,3518.3011999362675,adaptive,15
118000,3193.950197897017,adaptive,15
119000,3276.249310177304,adaptive,15
120000,3296.47786459639,adaptive,15
121000,3148.5048159615894,adaptive,15
122000,3207.5088790117193,adaptive,15
123000,3253.164767696885,adaptive,15
124000,3340.353879276644,adaptive,15
125000,3189.886368815024,adaptive,15
126000,3285.664421639599,adaptive,15
127000,3121.067790080693,adaptive,15
128000,3320.70391740474,adaptive,15
129000,3153.960322202485,adaptive,15
130000,3102.5677959383306,adaptive,15
131000,3242.702604623213,adaptive,15
132000,3126.080396550545,adaptive,15
133000,3378.8302340900136,adaptive,15
134000,3263.9053753224302,adaptive,15
135000,3158.0756552343846,adaptive,15
136000,3320.967991686345,adaptive,15
137000,3335.333911015542,adaptive,15
138000,3288.7567684468413,adaptive,15
139000,3200.897269731655,adaptive,15
140000,3236.0964444653987,adaptive,15
141000,3326.2260052157494,adaptive,15
142000,3145.3455841719756,adaptive,15
143000,3348.1844779081007,adaptive,15
144000,3371.5991479054724,adaptive,15
145000,3158.7720878558735,adaptive,15
146000,3227.0913139913027,adaptive,15
147000,3141.475496376897,adaptive,15
148000,3123.2445713340358,adaptive,15
149000,3123.3183702101933,adaptive,15
150000,3262.4761785865367,adaptive,15
151000,2990.499600329067,adaptive,15
152000,3160.4601985277295,adaptive,15
153000,3087.663734778201,adaptive,15
154000,3208.934621014804,adaptive,15
155000,3224.997777807503,adaptive,15
156000,3138.9190319620025,adaptive,15
157000,3118.490575642696,adaptive,15
158000,3169.88573800196,adaptive,15
159000,3339.8130990700697,adaptive,15
160000,3197.8778975347464,adaptive,15
161000,3180.9061649272357,adaptive,15
162000,3199.660088649912,adaptive,15
163000,3159.104547736786,adaptive,15
164000,3164.840108885518,adaptive,15
165000,3254.792759222386,adaptive,15
166000,3112.6669706991515,adaptive,15
167000,3135.1436032873185,adaptive,15
168000,3236.6054238489064,adaptive,15
169000,3308.6018437840758,adaptive,15
170000,3182.0413433077106,adaptive,15
171000,3082.7332414166235,adaptive,15
172000,3331.303783588981,adaptive,15
173000,3242.614365493578,adaptive,15
174000,3211.9740570281315,adaptive,15
175000,3113.3343765339996,adaptive,15
176000,3267.4659543658786,adaptive,15
177000,3310.0010558456247,adaptive,15
178000,3133.6005898193503,adaptive,15
179000,3048.8331191382003,adaptive,15
180000,3174.9247713215836,adaptive,15
181000,3307.6517745828824,adaptive,15
182000,3055.533645131493,adaptive,15
183000,3222.867935249521,adaptive,15
184000,3250.771833210861,adaptive,15
185000,3072.605191074624,adaptive,15
186000,3152.555175207441,adaptive,15
187000,3109.808479834753,adaptive,15
188000,3229.1446817148253,adaptive,15
189000,3062.934712847553,adaptive,15
190000,3171.6816877793294,adaptive,15
191000,3189.19412346649,adaptive,15
192000,3142.357656661939,adaptive,15
193000,3205.6296911774816,adaptive,15
194000,3084.918340554649,adaptive,15
195000,3206.6506531830805,adaptive,15
196000,3056.398684040219,adaptive,15
197000,3215.0950137250898,adaptive,15
198000,3096.041150796967,adaptive,15
199000,2985.371644964529,adaptive,15
200000,3160.3953820944957,adaptive,15
201000,3133.0797085591917,adaptive,15
202000,3091.1655666630686,adaptive,15
203000,3058.2045799845578,adaptive,15
204000,2986.8789608823217,adaptive,15
205000,3076.3954387884514,adaptive,15
206000,3187.6447622277033,adaptive,15
207000,3121.3682680203283,adaptive,15
208000,3179.668342435648,adaptive,15
209000,3176.2003495194963,adaptive,15
210000,3108.253923678512,adaptive,15
211000,3063.2684494319137,adaptive,15
212000,3175.213454294876,adaptive,15
213000,2967.291608850108,adaptive,15
214000,3109.101663318965,adaptive,15
215000,3109.214115863941,adaptive,15
216000,3115.740848515624,adaptive,15
217000,2956.5944948998017,adaptive,15
218000,3194.6066434552185,adaptive,15
219000,3157.000530221969,adaptive,15
220000,3169.0586285577656,adaptive,15
221000,3101.0743092905445,adaptive,15
222000,3095.4322399262746,adaptive,15
223000,3094.6409123343983,adaptive,15
224000,3104.515949221818,adaptive,15
225000,3019.7156979960587,adaptive,15
226000,3226.3666088456225,adaptive,15
227000,3154.7455872895575,adaptive,15
228000,3122.9088288568437,adaptive,15
229000,2982.9628639023936,adaptive,15
230000,3135.9824895255715,adaptive,15
231000,3152.810269292049,adaptive,15
232000,3063.3943853421197,adaptive,15
233000,3067.566531184427,adaptive,15
234000,3092.220961790283,adaptive,15
235000,3000.4142698133387,adaptive,15
236000,3084.1880050352997,adaptive,15
237000,3113.0789266772786,adaptive,15
238000,3023.1389220042506,adaptive,15
239000,3044.8326414946214,adaptive,15
240000,3127.338403486594,adaptive,15
241000,3007.1598095859404,adaptive,15
242000,3051.0935233203195,adaptive,15
243000,3084.313569395499,adaptive,15
244000,3116.0710140726046,adaptive,15
245000,3168.287555856935,adaptive,15
246000,3129.901407364,adaptive,15
247000,3050.4486321667064,adaptive,15
248000,3162.067185941841,adaptive,15
249000,3101.816216644979,adaptive,15
250000,3052.8706772071077,adaptive,15
251000,3116.412308156615,adaptive,15
252000,3061.423590455379,adaptive,15
253000,3072.556300084317,adaptive,15
254000,2981.4289865921155,adaptive,15
255000,3018.004650170384,adaptive,15
256000,3117.212092329268,adaptive,15
257000,3017.1186868084774,adaptive,15
258000,2966.6906571445106,adaptive,15
259000,3034.0071885972725,adaptive,15
260000,3199.786768154901,adaptive,15
261000,3119.8043324003665,adaptive,15
262000,3116.2496104871316,adaptive,15
263000,3064.5061116799866,adaptive,15
264000,3066.98349405826,adaptive,15
265000,3050.6598029964834,adaptive,15
266000,3021.294020603706,adaptive,15
267000,3103.972030563675,adaptive,15
268000,3013.4768991933324,adaptive,15
269000,3147.5171041655794,adaptive,15
270000,3139.634259562074,adaptive,15
271000,3067.7150612200653,adaptive,15
272000,2970.727536811515,adaptive,15
273000,3045.683582350146,adaptive,15
274000,3047.0711292627875,adaptive,15
275000,3063.8522554477963,adaptive,15
276000,3097.9063982781513,adaptive,15
277000,3139.8395710019786,adaptive,15
278000,2998.0342541643336,adaptive,15
279000,2972.0861934925333,adaptive,15
280000,2964.1920271305084,adaptive,15
281000,3047.0931152304356,adaptive,15
282000,3125.1290059253197,adaptive,15
283000,3168.4884649799765,adaptive,15
284000,3082.7156387110153,adaptive,15
285000,3107.0485415819107,adaptive,15
286000,3074.291374063914,adaptive,15
287000,3070.2999668071516,adaptive,15
288000,3023.2875685558083,adaptive,15
289000,3072.7359784628197,adaptive,15
290000,3091.2391321811915,adaptive,15
291000,3126.1642218951642,adaptive,15
292000,3185.9695788386653,adaptive,15
293000,3138.6472073284003,adaptive,15
294000,3066.6481145563203,adaptive,15
295000,3017.139814406298,adaptive,15
296000,3179.213226121784,adaptive,15
297000,3092.071932424599,adaptive,15
298000,3001.8355771034862,adaptive,15
299000,3028.0708658882127,adaptive,15
300000,3049.811041637072,adaptive,15
301000,3238.0031832700956,adaptive,15
302000,3026.348024770366,adaptive,15
303000,3075.645792783778,adaptive,15
304000,3106.143393639061,adaptive,15
305000,2967.742588289922,adaptive,15
306000,2954.167538568373,adaptive,15
307000,2981.475886586314,adaptive,15
308000,3042.843014003156,adaptive,15
309000,2910.4940808124243,adaptive,15
310000,3084.882601914497,adaptive,15
311000,2957.797220649468,adaptive,15
312000,3144.096317320626,adaptive,15
313000,3146.604440272818,adaptive,15
314000,3026.316383567163,adaptive,15
315000,3068.000680646615,adaptive,15
316000,3068.826910466407,adaptive,15
317000,3059.056958025109,adaptive,15
318000,3031.2539029211957,adaptive,15
319000,3112.0790604783947,adaptive,15
320000,2942.5144059404324,adaptive,15
321000,3157.199073664662,adaptive,15
322000,3006.1015780458724,adaptive,15
323000,3183.373962131898,adaptive,15
324000,3042.581892283903,adaptive,15
325000,3119.5319866959867,adaptive,15
