ite,cost,cooling schedule,repetition
1,33582.312440770256,log,28
1000,18801.331129647944,log,28
2000,13633.382058414578,log,28
3000,11153.412282259575,log,28
4000,10094.247779407873,log,28
5000,9637.809389517222,log,28
6000,8575.742867406812,log,28
7000,8197.331137067866,log,28
8000,7589.091719152747,log,28
9000,6790.300906805124,log,28
10000,6644.081281201634,log,28
11000,7181.023847608102,log,28
12000,6397.830305104344,log,28
13000,5693.37859305934,log,28
14000,6078.19894032118,log,28
15000,5733.914841038768,log,28
16000,5694.267556496141,log,28
17000,5631.87680010186,log,28
18000,5323.184656971612,log,28
19000,5259.161611360956,log,28
20000,5114.7838379741,log,28
21000,4816.723567565188,log,28
22000,4940.759829004912,log,28
23000,4940.400458485909,log,28
24000,4776.113240912273,log,28
25000,4820.425696008102,log,28
26000,4484.64889544759,log,28
27000,4633.854169624111,log,28
28000,4709.053290779627,log,28
29000,4376.331084382985,log,28
30000,4407.888113317601,log,28
31000,4177.270274227052,log,28
32000,4462.886990395596,log,28
33000,4091.1102675857833,log,28
34000,4329.076724759755,log,28
35000,4294.6570906348525,log,28
36000,4143.660555833069,log,28
37000,3875.008332315677,log,28
38000,4147.190704852623,log,28
39000,3981.531558978432,log,28
40000,3844.300760834055,log,28
41000,3984.6783673999494,log,28
42000,3880.4843542888407,log,28
43000,4055.868847990215,log,28
44000,3958.130769774704,log,28
45000,3906.74082604162,log,28
46000,4112.056908620004,log,28
47000,3828.1890571167755,log,28
48000,3833.8310004592186,log,28
49000,3845.6439094320353,log,28
50000,3784.3459044252418,log,28
51000,3667.225496954429,log,28
52000,3747.515622632067,log,28
53000,3832.0711977216374,log,28
54000,3767.8129965638705,log,28
55000,3676.53156928138,log,28
56000,3826.0925254681038,log,28
57000,3644.7156881520086,log,28
58000,3608.917226529936,log,28
59000,3695.0447097596957,log,28
60000,3604.0461656650264,log,28
61000,3553.857460098994,log,28
62000,3572.5422292354224,log,28
63000,3493.0181013136257,log,28
64000,3727.5897949993246,log,28
65000,3438.852749683453,log,28
66000,3638.6713500742544,log,28
67000,3468.3778424915477,log,28
68000,3469.5717885285503,log,28
69000,3611.1841618784165,log,28
70000,3480.7198960197597,log,28
71000,3531.0613881018467,log,28
72000,3651.073163965713,log,28
73000,3676.384969605684,log,28
74000,3439.143550338087,log,28
75000,3515.36247879648,log,28
76000,3307.695993539287,log,28
77000,3387.648321970961,log,28
78000,3323.6276787650204,log,28
79000,3356.1680467851766,log,28
80000,3484.1837748184485,log,28
81000,3471.854837390828,log,28
82000,3466.1773651777594,log,28
83000,3455.9742583745656,log,28
84000,3380.7356819989595,log,28
85000,3399.691878914211,log,28
86000,3389.7602019244623,log,28
87000,3443.245090948562,log,28
88000,3457.5736141813554,log,28
89000,3508.928151131483,log,28
90000,3281.243823735692,log,28
91000,3500.971279752499,log,28
92000,3351.399384034837,log,28
93000,3400.2927109927173,log,28
94000,3531.2640084336126,log,28
95000,3279.169369892268,log,28
96000,3378.7354510305927,log,28
97000,3418.2491419181206,log,28
98000,3545.274636685747,log,28
99000,3314.4945258596713,log,28
100000,3410.9174852566352,log,28
101000,3281.449344919503,log,28
102000,3351.8920693655014,log,28
103000,3371.08126520862,log,28
104000,3336.3495495649304,log,28
105000,3222.73418069906,log,28
106000,3346.84448480879,log,28
107000,3294.7871412746913,log,28
108000,3484.0140680576283,log,28
109000,3131.339172175619,log,28
110000,3326.396523662418,log,28
111000,3371.524557273722,log,28
112000,3407.5536833860506,log,28
113000,3230.074368087578,log,28
114000,3227.2543114511504,log,28
115000,3229.838186265374,log,28
116000,3336.392636479057,log,28
117000,3114.7319711764894,log,28
118000,3359.0740028806968,log,28
119000,3250.0314925865027,log,28
120000,3319.523884637493,log,28
121000,3244.6435444035806,log,28
122000,3258.9360749553757,log,28
123000,3243.377030162471,log,28
124000,3238.6358682105297,log,28
125000,3122.5075419341533,log,28
126000,3306.971689033232,log,28
127000,3286.131971251908,log,28
128000,3104.767281623489,log,28
129000,3139.1033006012244,log,28
130000,3256.296509666505,log,28
131000,3195.3455475711057,log,28
132000,3245.7110832719386,log,28
