ite,cost,cooling schedule,repetition
1,33540.78369244464,log,23
1000,18066.59558420286,log,23
2000,14465.706670138768,log,23
3000,11262.59535919941,log,23
4000,9898.964482642385,log,23
5000,9349.246103532316,log,23
6000,8094.23212327736,log,23
7000,8045.4216018343695,log,23
8000,7779.382766851645,log,23
9000,7248.482283510062,log,23
10000,6551.864090698555,log,23
11000,6385.224615228138,log,23
12000,6425.643297096261,log,23
13000,6162.872988347372,log,23
14000,6065.56142860846,log,23
15000,5638.168324619366,log,23
16000,5607.4590399530625,log,23
17000,5560.502945472771,log,23
18000,5348.400678499204,log,23
19000,5154.47260397779,log,23
20000,4906.526648035676,log,23
21000,4941.747163682067,log,23
22000,5253.860604996567,log,23
23000,4986.341358642839,log,23
24000,4726.403659107889,log,23
25000,4362.936394853851,log,23
26000,4620.024500088315,log,23
27000,4493.141004967036,log,23
28000,4344.279347437621,log,23
29000,4535.063894948699,log,23
30000,4501.298964409881,log,23
31000,4573.324601854456,log,23
32000,4077.263834914825,log,23
33000,4340.301236951401,log,23
34000,4300.377906108103,log,23
35000,4112.628192445788,log,23
36000,4122.731423948635,log,23
37000,4354.4100555430205,log,23
38000,4132.692055254274,log,23
39000,4082.3800756285773,log,23
40000,4266.291077128286,log,23
41000,3977.9655305090578,log,23
42000,4015.466801609168,log,23
43000,4105.736676035714,log,23
44000,3630.2380262548154,log,23
45000,3935.990825897288,log,23
46000,3782.425045430485,log,23
47000,3922.5716279720064,log,23
48000,4077.646281435771,log,23
49000,3845.067293164261,log,23
50000,3706.1858819958775,log,23
51000,3781.052289682977,log,23
52000,3694.74180255938,log,23
53000,3863.861355852817,log,23
54000,3899.8958475594695,log,23
55000,3955.6873630814557,log,23
56000,3967.0080054127684,log,23
57000,3712.6962760479933,log,23
58000,3608.810812148131,log,23
59000,3769.9095891024,log,23
60000,3541.8413965569707,log,23
61000,3598.8298550353693,log,23
62000,3532.6936672071124,log,23
63000,3443.065363495617,log,23
64000,3697.670182549173,log,23
65000,3543.9097838122593,log,23
