num_s,area,repetition,s_method
841,1.7693222354340072,2,MC
900,1.3866666666666667,2,MC
961,1.6482830385015608,2,MC
1024,1.59375,2,MC
1089,1.601469237832874,2,MC
1156,1.5363321799307958,2,MC
1225,1.5673469387755101,2,MC
1296,1.5925925925925926,2,MC
1369,1.6011687363038714,2,MC
1444,1.5069252077562327,2,MC
1521,1.5253122945430637,2,MC
1600,1.92,2,MC
1681,1.570493753718025,2,MC
1764,1.5419501133786848,2,MC
1849,1.644131963223364,2,MC
1936,1.71900826446281,2,MC
2025,1.5328395061728395,2,MC
2116,1.550094517958412,2,MC
2209,1.5862381167949298,2,MC
2304,1.4305555555555556,2,MC
2401,1.472719700124948,2,MC
2500,1.4912,2,MC
2601,1.7039600153787005,2,MC
2704,1.4792899408284024,2,MC
2809,1.5436098255606978,2,MC
2916,1.4924554183813443,2,MC
3025,1.5127272727272727,2,MC
3136,1.4744897959183674,2,MC
3249,1.6595875654047398,2,MC
3364,1.5838287752675386,2,MC
3481,1.3559322033898304,2,MC
3600,1.5022222222222221,2,MC
3721,1.483472184896533,2,MC
3844,1.485952133194589,2,MC
3969,1.5036533131771228,2,MC
4096,1.5234375,2,MC
4225,1.5905325443786982,2,MC
4356,1.5831037649219468,2,MC
4489,1.5005569169079973,2,MC
4624,1.453287197231834,2,MC
4761,1.5593362738920395,2,MC
4900,1.4791836734693877,2,MC
5041,1.4981154532830787,2,MC
5184,1.6018518518518519,2,MC
5329,1.5462563332707826,2,MC
5476,1.5894813732651571,2,MC
5625,1.5132444444444444,2,MC
5776,1.5373961218836565,2,MC
5929,1.5597908584921572,2,MC
6084,1.5621301775147929,2,MC
6241,1.563851946803397,2,MC
6400,1.52,2,MC
6561,1.5387898186252096,2,MC
6724,1.5181439619274242,2,MC
6889,1.5119756132965598,2,MC
7056,1.6213151927437641,2,MC
7225,1.6365397923875433,2,MC
7396,1.5987020010816657,2,MC
7569,1.5494781344959705,2,MC
7744,1.5041322314049588,2,MC
7921,1.5917182173967934,2,MC
8100,1.5644444444444445,2,MC
100,1.76,2,LHS
121,1.8512396694214877,2,LHS
144,2.111111111111111,2,LHS
169,1.0414201183431953,2,LHS
196,1.469387755102041,2,LHS
225,1.6355555555555557,2,LHS
256,1.75,2,LHS
289,1.439446366782007,2,LHS
324,1.6296296296296295,2,LHS
361,1.373961218836565,2,LHS
400,1.48,2,LHS
441,1.5238095238095237,2,LHS
484,1.6198347107438016,2,LHS
529,1.6332703213610587,2,LHS
576,1.4166666666666667,2,LHS
625,1.28,2,LHS
676,1.5621301775147929,2,LHS
729,1.382716049382716,2,LHS
784,1.5714285714285714,2,LHS
841,1.5790725326991677,2,LHS
900,1.8311111111111111,2,LHS
961,1.5317377731529656,2,LHS
1024,1.734375,2,LHS
1089,1.5426997245179064,2,LHS
1156,1.480968858131488,2,LHS
1225,1.3975510204081634,2,LHS
1296,1.654320987654321,2,LHS
1369,1.3089846603360118,2,LHS
1444,1.6398891966759004,2,LHS
1521,1.5042735042735043,2,LHS
1600,1.66,2,LHS
1681,1.618084473527662,2,LHS
1764,1.5419501133786848,2,LHS
1849,1.7047052460789616,2,LHS
1936,1.4462809917355373,2,LHS
2025,1.5407407407407407,2,LHS
2116,1.5425330812854443,2,LHS
2209,1.4341330918967858,2,LHS
2304,1.4791666666666667,2,LHS
2401,1.419408579758434,2,LHS
2500,1.4976,2,LHS
2601,1.5132641291810842,2,LHS
2704,1.4970414201183433,2,LHS
2809,1.429690281238875,2,LHS
2916,1.4924554183813443,2,LHS
3025,1.4862809917355373,2,LHS
3136,1.5255102040816326,2,LHS
3249,1.5069252077562327,2,LHS
3364,1.6171224732461356,2,LHS
3481,1.5811548405630567,2,LHS
3600,1.5555555555555556,2,LHS
3721,1.6124697661918839,2,LHS
3844,1.623309053069719,2,LHS
3969,1.63668430335097,2,LHS
4096,1.55078125,2,LHS
4225,1.5450887573964498,2,LHS
4356,1.487603305785124,2,LHS
4489,1.6645132546224104,2,LHS
4624,1.532871972318339,2,LHS
4761,1.5727788279773156,2,LHS
4900,1.5151020408163265,2,LHS
5041,1.5266812140448325,2,LHS
5184,1.5154320987654322,2,LHS
5329,1.603302683430287,2,LHS
5476,1.5105916727538349,2,LHS
5625,1.5644444444444445,2,LHS
5776,1.520775623268698,2,LHS
5929,1.5624894585933546,2,LHS
6084,1.5410913872452334,2,LHS
6241,1.5382150296426855,2,LHS
6400,1.625,2,LHS
6561,1.51440329218107,2,LHS
6724,1.5110053539559787,2,LHS
6889,1.5770068224706053,2,LHS
7056,1.5782312925170068,2,LHS
7225,1.5546020761245676,2,LHS
7396,1.5467820443482965,2,LHS
7569,1.5304531642224866,2,LHS
7744,1.512396694214876,2,LHS
7921,1.567478853680091,2,LHS
8100,1.5644444444444445,2,LHS
100,1.6,2,OS
121,1.71900826446281,2,OS
144,1.4444444444444444,2,OS
169,1.7041420118343196,2,OS
196,1.469387755102041,2,OS
225,1.7066666666666668,2,OS
256,1.6875,2,OS
289,1.494809688581315,2,OS
324,1.6296296296296295,2,OS
361,1.373961218836565,2,OS
400,1.6,2,OS
441,1.560090702947846,2,OS
484,1.5867768595041323,2,OS
529,1.5727788279773156,2,OS
576,1.5555555555555556,2,OS
625,1.4848,2,OS
676,1.6094674556213018,2,OS
729,1.5582990397805212,2,OS
784,1.5714285714285714,2,OS
841,1.4839476813317478,2,OS
900,1.511111111111111,2,OS
961,1.481789802289282,2,OS
1024,1.546875,2,OS
1089,1.4986225895316805,2,OS
1156,1.5501730103806228,2,OS
1225,1.5673469387755101,2,OS
1296,1.5061728395061729,2,OS
1369,1.472607742878013,2,OS
1444,1.4847645429362881,2,OS
1521,1.5568704799474031,2,OS
1600,1.54,2,OS
1681,1.4943486020226056,2,OS
1764,1.5419501133786848,2,OS
1849,1.5489453758788534,2,OS
1936,1.5454545454545454,2,OS
2025,1.5723456790123458,2,OS
2116,1.5425330812854443,2,OS
2209,1.5282933454051606,2,OS
2304,1.5625,2,OS
2401,1.5326947105372761,2,OS
2500,1.5424,2,OS
2601,1.5686274509803921,2,OS
2704,1.5857988165680474,2,OS
2809,1.5208259166963332,2,OS
2916,1.5363511659807956,2,OS
3025,1.5603305785123966,2,OS
3136,1.4948979591836735,2,OS
3249,1.5610957217605417,2,OS
3364,1.5838287752675386,2,OS
3481,1.5811548405630567,2,OS
3600,1.5422222222222222,2,OS
3721,1.543671056167697,2,OS
3844,1.5691987513007284,2,OS
3969,1.5238095238095237,2,OS
4096,1.56640625,2,OS
4225,1.5715976331360946,2,OS
4356,1.5573921028466482,2,OS
4489,1.5361995990198263,2,OS
4624,1.5570934256055364,2,OS
4761,1.5458937198067633,2,OS
4900,1.5118367346938775,2,OS
5041,1.5615949216425313,2,OS
5184,1.5679012345679013,2,OS
5329,1.5612685306811784,2,OS
5476,1.5514974433893354,2,OS
5625,1.5331555555555556,2,OS
5776,1.5401662049861495,2,OS
5929,1.5543936582897622,2,OS
6084,1.5568704799474031,2,OS
6241,1.5433424130748277,2,OS
6400,1.5575,2,OS
6561,1.5485444292028654,2,OS
6724,1.5562165377751338,2,OS
6889,1.5305559587748585,2,OS
7056,1.5419501133786848,2,OS
7225,1.5634602076124569,2,OS
7396,1.5770686857760952,2,OS
7569,1.5558197912537983,2,OS
7744,1.5433884297520661,2,OS
7921,1.549299330892564,2,OS
8100,1.5209876543209877,2,OS
100,1.12,3,MC
121,2.512396694214876,3,MC
144,2.3333333333333335,3,MC
169,1.0414201183431953,3,MC
196,1.9591836734693877,3,MC
225,1.92,3,MC
256,1.25,3,MC
289,1.217993079584775,3,MC
324,1.4814814814814814,3,MC
361,1.4182825484764543,3,MC
400,1.56,3,MC
441,1.7052154195011338,3,MC
484,1.6528925619834711,3,MC
529,1.724007561436673,3,MC
576,1.7777777777777777,3,MC
625,1.5872,3,MC
676,1.3964497041420119,3,MC
729,1.4046639231824416,3,MC
784,2.020408163265306,3,MC
841,1.6361474435196195,3,MC
900,1.6177777777777778,3,MC
961,1.4318418314255983,3,MC
1024,1.46875,3,MC
1089,1.4545454545454546,3,MC
1156,1.439446366782007,3,MC
1225,1.763265306122449,3,MC
1296,1.691358024691358,3,MC
1369,1.6011687363038714,3,MC
1444,1.551246537396122,3,MC
1521,1.472715318869165,3,MC
1600,1.8,3,MC
1681,1.703747769185009,3,MC
1764,1.469387755102041,3,MC
1849,1.5229853975121688,3,MC
1936,1.5289256198347108,3,MC
2025,1.4775308641975309,3,MC
2116,1.6030245746691871,3,MC
2209,1.6369397917609778,3,MC
2304,1.5416666666666667,3,MC
2401,1.612661391087047,3,MC
2500,1.5232,3,MC
2601,1.7101114955786236,3,MC
2704,1.6272189349112427,3,MC
2809,1.4467782128871485,3,MC
2916,1.4156378600823045,3,MC
3025,1.6396694214876033,3,MC
3136,1.5612244897959184,3,MC
3249,1.5709449061249616,3,MC
3364,1.4839476813317478,3,MC
3481,1.5259982763573685,3,MC
3600,1.5777777777777777,3,MC
3721,1.4447729105079279,3,MC
3844,1.619146722164412,3,MC
3969,1.5439657344419249,3,MC
4096,1.51171875,3,MC
4225,1.450414201183432,3,MC
4356,1.494949494949495,3,MC
4489,1.4470928937402538,3,MC
4624,1.480968858131488,3,MC
4761,1.5223692501575299,3,MC
4900,1.5281632653061223,3,MC
5041,1.5584209482245586,3,MC
5184,1.4722222222222223,3,MC
5329,1.5282416963783074,3,MC
5476,1.4550766983199415,3,MC
5625,1.5701333333333334,3,MC
5776,1.4986149584487534,3,MC
5929,1.5651880586945521,3,MC
6084,1.354372123602893,3,MC
6241,1.5202691876301875,3,MC
6400,1.495,3,MC
6561,1.6607224508459075,3,MC
6724,1.6085663295657346,3,MC
6889,1.5793293656553926,3,MC
7056,1.6349206349206349,3,MC
7225,1.488166089965398,3,MC
7396,1.5597620335316387,3,MC
7569,1.5093143083630598,3,MC
7744,1.6528925619834711,3,MC
7921,1.5997980053023608,3,MC
8100,1.586172839506173,3,MC
100,1.28,3,LHS
121,1.0578512396694215,3,LHS
144,1.5555555555555556,3,LHS
169,1.3254437869822486,3,LHS
196,1.8775510204081634,3,LHS
225,1.3511111111111112,3,LHS
256,1.4375,3,LHS
289,1.6608996539792387,3,LHS
324,1.7777777777777777,3,LHS
361,1.4626038781163435,3,LHS
400,1.24,3,LHS
441,1.2335600907029478,3,LHS
484,1.421487603305785,3,LHS
529,1.4215500945179584,3,LHS
576,1.6944444444444444,3,LHS
625,1.6896,3,LHS
676,1.7041420118343196,3,LHS
729,1.448559670781893,3,LHS
784,1.7142857142857142,3,LHS
841,1.6932223543400713,3,LHS
900,1.6533333333333333,3,LHS
961,1.6815816857440167,3,LHS
1024,1.46875,3,LHS
1089,1.4986225895316805,3,LHS
1156,1.508650519031142,3,LHS
1225,1.6326530612244898,3,LHS
1296,1.4074074074074074,3,LHS
